ts,table,action,rows,proposal
20260723T162801Z,usecases.csv,apply,1271,pending_usecases_llm
20260723T171206Z,money.csv,apply,77,pending_money_fs
20260723T171605Z,universe.csv,apply,2457,pending_universe_size
20260723T201248Z,register.csv,apply,3,pending_register_MA_silent
20260723T201523Z,register.csv,apply,26,pending_register_RU_silent
20260723T202122Z,register.csv,apply,2,pending_register_IL_silent
20260723T202417Z,register.csv,apply,8,pending_register_ID_silent
20260723T202647Z,register.csv,apply,55,pending_register_CN_silent
20260723T202722Z,register.csv,apply,5,pending_register_CA_silent
20260723T203048Z,register.csv,apply,5,pending_register_SG_silent
20260723T203204Z,register.csv,apply,62,pending_register_FR_silent
