universe_name,universe_cc,register_name,register_cc
Zijin Mining Group,CN,Zijin Mining,CN
Wanhua Chemical Group,CN,Wanhua Chemical,CN
BOE Technology Group,CN,BOE Technology,CN
Luzhou Lao Jiao,CN,Luzhou Laojiao,CN
Iflytek,CN,iFlytek,CN
China Telecom Corporation,CN,China Telecom,CN
Haitong Securities Company,CN,Haitong Securities,CN
Tongwei Company,CN,Tongwei,CN
China Three Gorges Renewables (Group),CN,China Three Gorges Renewables,CN
China Railway Group Limited,CN,China Railway Group,CN
China Shipbuilding Industry Company,CN,China Shipbuilding Industry,CN
CNOOC Limited,CN,CNOOC,HK
HSBC Holdings plc,CN,HSBC,UK
China Construction Bank,CN,China Construction Bank,HK
AIA Group Limited,CN,AIA Group,CN
BOC Hong Kong Holdings,CN,BOC Hong Kong,CN
CLP Holdings Limited,CN,CLP Holdings,HK
Hong Kong and China Gas Company,CN,Hong Kong and China Gas,HK
Henderson Land Development,CN,Henderson Land Development,HK
China Overseas Land & Investment,CN,China Overseas Land & Investment,HK
Longfor Properties,CN,Longfor Properties,HK
China Resources Land,CN,China Resources Land,HK
Galaxy Entertainment Group,CN,Galaxy Entertainment,CN
Alibaba Health,CN,Alibaba Health,HK
BYD Electronics,CN,BYD Electronics,HK
WH Group,CN,WH Group,HK
China Resources Beer,CN,China Resources Beer,HK
Orient Overseas (International),CN,Orient Overseas (International),HK
Tingyi,CN,Tingyi,HK
Tencent Holdings Limited,CN,Tencent Holdings,HK
China Unicom,CN,China Unicom,HK
Kuaishou,CN,Kuaishou,HK
Hengan International Group,CN,Hengan International,CN
China Hongqiao Group,CN,China Hongqiao Group,HK
Xiaomi,CN,Xiaomi,HK
Li Auto,CN,Li Auto,HK
Anta Sports,CN,Anta Sports,HK
ZTO Express,CN,ZTO Express,HK
Li-Ning,CN,Li-Ning,HK
JD Logistics,CN,JD Logistics,HK
Hansoh Pharmaceutical Group,CN,Hansoh Pharmaceutical,CN
Haidilao,CN,Haidilao,HK
JD.com,CN,JD.com,HK
Baidu,CN,Baidu,HK
Alibaba Group,CN,Alibaba Group,HK
Pop Mart,CN,Pop Mart,HK
NetEase,CN,NetEase,HK
Airbus Group,FR,Airbus,DE
Aperam,FR,Aperam,BE
Arcelor Mittal,FR,ArcelorMittal,ES
L’Oréal,FR,L'Oréal,FR
SEB,FR,SEB,SE
Solvay,FR,Solvay,BE
ST Microelectronics,FR,STMicroelectronics,FR
Link REIT,HK,Link REIT,CN
Xinyi Solar,HK,Xinyi Solar,CN
Nongfu Spring,HK,Nongfu Spring,CN
3i,UK,3i Group,UK
Burberry Group,UK,Burberry,UK
Rolls-Royce Holdings,UK,Rolls-Royce,UK
O’Reilly Automotive,US,O'Reilly Automotive,US
