company,cc,vertical,index,raw_sector,market_cap_usd,revenue_usd,employees,ticker
International Holding Company,AE,,ADX_DFM,Investment,225839000000,32490000000,,IHC.AD
TAQA,AE,,ADX_DFM,Utilities,81184000000,14828000000,7000,TAQA.AD
ADNOC Gas,AE,,ADX_DFM,Energy,70024000000,,,ADNOCGAS.AD
First Abu Dhabi Bank,AE,,ADX_DFM,Banks,53823000000,9270000000,5451,FAB.AD
Emirates NBD,AE,,ADX_DFM,Banks,50427792916,13760217984,35000,EMIRATESNBD.DU
e& (Emirates Telecom),AE,,ADX_DFM,Telecom,47488000000,20547000000,,EAND.AD
Dubai Electricity and Water Authority,AE,,ADX_DFM,Utilities,36239000000,9082000000,11206,DEWA.DU
Abu Dhabi Commercial Bank,AE,,ADX_DFM,Banks,30504000000,5452000000,5000,ADCB.AD
Emaar Properties,AE,,ADX_DFM,Real Estate,26782000000,14131000000,,EMAAR.DU
ADNOC Drilling,AE,,ADX_DFM,Energy,24706000000,4965000000,,ADNOCDRILL.AD
Abu Dhabi Islamic Bank,AE,,ADX_DFM,Banks,20387000000,3245000000,,ADIB.AD
Alpha Dhabi Holding,AE,,ADX_DFM,Investment,20027000000,21836000000,57000,ALPHADHABI.AD
Multiply Group,AE,,ADX_DFM,Investment,6378000000,4477000000,,2POINTZERO.AD
Borouge,AE,,ADX_DFM,Chemicals,19479000000,5607000000,2979,BOROUGE.AD
Aldar Properties,AE,,ADX_DFM,Real Estate,16389000000,9471000000,2891,ALDAR.AD
Emirates Integrated Telecommunications (du),AE,,ADX_DFM,Telecom,15267000000,4455000000,,DU.DU
Dubai Islamic Bank,AE,,ADX_DFM,Banks,14456000000,3529000000,10000,DIB.DU
Emaar Development,AE,,ADX_DFM,Real Estate,14190000000,7989000000,,EMAARDEV.DU
Mashreqbank,AE,,ADX_DFM,Banks,13665000000,3384000000,,MASQ.DU
ADNOC (Abu Dhabi National Oil Company),AE,,ADX_DFM,Energy,,,,
Modon Holding,AE,,ADX_DFM,Real Estate,12738000000,3768000000,,MODON.AD
ADNOC Logistics & Services,AE,,ADX_DFM,Logistics,46570000000,18060000000,7022,ADNOCLS.AD
Ooredoo,AE,,ADX_DFM,Telecom,11400000000,,,ORDS.AD
Salik Company,AE,,ADX_DFM,Transport,11180000000,836000000,,SALIK.DU
