Agnico Eagle Mines	CA	TSX60	Mining
Alimentation Couche-Tard	CA	TSX60	Retail
Bank of Montreal	CA	TSX60	Banks
Bank of Nova Scotia	CA	TSX60	Banks
Barrick Mining	CA	TSX60	Mining
BCE	CA	TSX60	Telecom
Brookfield Asset Management	CA	TSX60	Financials
Brookfield Corporation	CA	TSX60	Financials
Brookfield Infrastructure Partners	CA	TSX60	Utilities
CAE	CA	TSX60	Industrials
Cameco	CA	TSX60	Energy
Canadian Imperial Bank of Commerce	CA	TSX60	Banks
Canadian National Railway	CA	TSX60	Industrials
Canadian Natural Resources	CA	TSX60	Energy
Canadian Pacific Kansas City	CA	TSX60	Industrials
Canadian Tire	CA	TSX60	Retail
CCL Industries	CA	TSX60	Industrials
Celestica	CA	TSX60	Electronics
Cenovus Energy	CA	TSX60	Energy
CGI	CA	TSX60	IT Services
Constellation Software	CA	TSX60	Software
Dollarama	CA	TSX60	Retail
Emera	CA	TSX60	Utilities
Enbridge	CA	TSX60	Energy
Fairfax Financial Holdings	CA	TSX60	Insurance
First Quantum Minerals	CA	TSX60	Mining
FirstService	CA	TSX60	Real Estate
Fortis	CA	TSX60	Utilities
Franco-Nevada	CA	TSX60	Mining
George Weston	CA	TSX60	Consumer Staples
Gildan Activewear	CA	TSX60	Apparel
Hydro One	CA	TSX60	Utilities
Imperial Oil	CA	TSX60	Energy
Intact Financial	CA	TSX60	Insurance
Kinross Gold	CA	TSX60	Mining
Loblaw Companies	CA	TSX60	Retail
Magna International	CA	TSX60	Auto Parts
Manulife Financial	CA	TSX60	Insurance
Metro	CA	TSX60	Retail
National Bank of Canada	CA	TSX60	Banks
Nutrien	CA	TSX60	Chemicals
Open Text	CA	TSX60	Software
Pembina Pipeline	CA	TSX60	Energy
Power Corporation of Canada	CA	TSX60	Financials
Restaurant Brands International	CA	TSX60	Restaurants
Rogers Communications	CA	TSX60	Telecom
Royal Bank of Canada	CA	TSX60	Banks
Saputo	CA	TSX60	Consumer Staples
Shopify	CA	TSX60	Software
Sun Life Financial	CA	TSX60	Insurance
Suncor Energy	CA	TSX60	Energy
TC Energy	CA	TSX60	Energy
Teck Resources	CA	TSX60	Mining
Telus	CA	TSX60	Telecom
Thomson Reuters	CA	TSX60	Media
Toronto-Dominion Bank	CA	TSX60	Banks
Tourmaline Oil	CA	TSX60	Energy
Waste Connections	CA	TSX60	Industrials
Wheaton Precious Metals	CA	TSX60	Mining
WSP Global	CA	TSX60	Industrials
