HSBC Holdings	HK	HSI	Banks
Hong Kong Exchanges and Clearing	HK	HSI	Financials
China Construction Bank	HK	HSI	Banks
AIA Group	HK	HSI	Insurance
Industrial and Commercial Bank of China	HK	HSI	Banks
Ping An Insurance	HK	HSI	Insurance
BOC Hong Kong	HK	HSI	Banks
China Life Insurance	HK	HSI	Insurance
China Merchants Bank	HK	HSI	Banks
Bank of China	HK	HSI	Banks
CLP Holdings	HK	HSI	Utilities
Hong Kong and China Gas	HK	HSI	Utilities
Power Assets Holdings	HK	HSI	Utilities
China Resources Power	HK	HSI	Utilities
Cheung Kong Infrastructure Holdings	HK	HSI	Utilities
ENN Energy	HK	HSI	Utilities
Henderson Land Development	HK	HSI	Real Estate
Sun Hung Kai Properties	HK	HSI	Real Estate
Hang Lung Properties	HK	HSI	Real Estate
China Overseas Land & Investment	HK	HSI	Real Estate
Link REIT	HK	HSI	Real Estate
Longfor Properties	HK	HSI	Real Estate
China Resources Land	HK	HSI	Real Estate
CK Asset Holdings	HK	HSI	Real Estate
China Resources Mixc Lifestyle	HK	HSI	Real Estate
Wharf Real Estate Investment	HK	HSI	Real Estate
CK Hutchison Holdings	HK	HSI	Conglomerate
Galaxy Entertainment Group	HK	HSI	Gaming
MTR Corporation	HK	HSI	Transport
Geely Auto	HK	HSI	Automotive
Alibaba Health	HK	HSI	Healthcare
CITIC Limited	HK	HSI	Conglomerate
BYD Electronics	HK	HSI	Electronics
WH Group	HK	HSI	Food
China Resources Beer	HK	HSI	Beverages
Midea Group	HK	HSI	Consumer Electronics
Orient Overseas (International)	HK	HSI	Shipping
Tingyi	HK	HSI	Food
Sinopec Corp	HK	HSI	Energy
Techtronic Industries	HK	HSI	Industrials
Tencent Holdings	HK	HSI	Technology
China Unicom	HK	HSI	Telecom
PetroChina	HK	HSI	Energy
Xinyi Glass	HK	HSI	Materials
Zhongsheng Group	HK	HSI	Auto Retail
CNOOC	HK	HSI	Energy
China Mobile	HK	HSI	Telecom
Xinyi Solar	HK	HSI	Renewable Energy
Semiconductor Manufacturing International	HK	HSI	Semiconductors
Lenovo	HK	HSI	Technology
Kuaishou	HK	HSI	Technology
Hengan International	HK	HSI	Consumer Goods
China Shenhua Energy	HK	HSI	Energy
CSPC Pharmaceutical Group	HK	HSI	Pharma
Sinopharm Group	HK	HSI	Pharma
Sino Biopharmaceutical	HK	HSI	Pharma
BYD Company	HK	HSI	Automotive
China Hongqiao Group	HK	HSI	Materials
Xiaomi	HK	HSI	Technology
Budweiser Brewing Company APAC	HK	HSI	Beverages
Sands China	HK	HSI	Gaming
Chow Tai Fook Jewellery	HK	HSI	Retail
Li Auto	HK	HSI	Automotive
Anta Sports	HK	HSI	Apparel
ZTO Express	HK	HSI	Logistics
WuXi Biologics	HK	HSI	Pharma
Shenzhou International	HK	HSI	Apparel
Mengniu Dairy	HK	HSI	Food
Li-Ning	HK	HSI	Apparel
WuXi AppTec	HK	HSI	Pharma
Sunny Optical Technology	HK	HSI	Electronics
JD Logistics	HK	HSI	Logistics
Zijin Mining	HK	HSI	Mining
Meituan	HK	HSI	Technology
Hansoh Pharmaceutical Group	HK	HSI	Pharma
JD Health	HK	HSI	Healthcare
Haier Smart Home	HK	HSI	Consumer Electronics
Haidilao	HK	HSI	Restaurants
JD.com	HK	HSI	E-commerce
Nongfu Spring	HK	HSI	Beverages
Baidu	HK	HSI	Technology
Trip.com Group	HK	HSI	Travel
Alibaba Group	HK	HSI	E-commerce
Pop Mart	HK	HSI	Retail
NetEase	HK	HSI	Technology
