First International Bank of Israel	IL	TA35	Banks
Israel Discount Bank	IL	TA35	Banks
Bank Leumi	IL	TA35	Banks
Mizrahi-Tefahot Bank	IL	TA35	Banks
Bank Hapoalim	IL	TA35	Banks
Phoenix Holdings	IL	TA35	Insurance
Harel Insurance	IL	TA35	Insurance
Clal Insurance Holdings	IL	TA35	Insurance
Migdal Insurance	IL	TA35	Insurance
Menora Mivtachim	IL	TA35	Insurance
AMOT Investments	IL	TA35	Real Estate
BIG Shopping Centers	IL	TA35	Real Estate
Dimri Construction	IL	TA35	Real Estate
Mivne Real Estate	IL	TA35	Real Estate
Melisron	IL	TA35	Real Estate
Azrieli Group	IL	TA35	Real Estate
Delek Group	IL	TA35	Oil & Gas
Navitas Petroleum	IL	TA35	Oil & Gas
NewMed Energy	IL	TA35	Oil & Gas
OPC Energy	IL	TA35	Energy
Ormat Technologies	IL	TA35	Energy
Enlight Renewable Energy	IL	TA35	Energy
Tower Semiconductor	IL	TA35	Semiconductors
Nova	IL	TA35	Semiconductors
NICE	IL	TA35	Technology
Camtek	IL	TA35	Semiconductors
ICL Group	IL	TA35	Chemicals
Elbit Systems	IL	TA35	Defense
NextVision Stabilized Systems	IL	TA35	Defense
Bezeq	IL	TA35	Telecom
Teva Pharmaceutical Industries	IL	TA35	Pharma
Fattal Holdings	IL	TA35	Hotels
Shufersal	IL	TA35	Retail
Strauss Group	IL	TA35	Food
Shapir Engineering	IL	TA35	Construction
