Samsung Electronics	KR	KOSPI	IT	삼성전자
SK Hynix	KR	KOSPI	IT	SK하이닉스
Samsung Biologics	KR	KOSPI	Health Care	삼성바이오로직스
LG Energy Solution	KR	KOSPI	Industrials	LG에너지솔루션
Hyundai Motor	KR	KOSPI	Consumer Discretionary	현대자동차
Celltrion	KR	KOSPI	Health Care	셀트리온
Kia	KR	KOSPI	Consumer Discretionary	기아
Naver	KR	KOSPI	Communication Services	네이버
KB Financial	KR	KOSPI	Financials	KB금융
Hanwha Aerospace	KR	KOSPI	Industrials	한화항공우주
Samsung SDI	KR	KOSPI	IT
Samsung C&T	KR	KOSPI	Constructions
POSCO	KR	KOSPI	Steels & Materials
Kakao	KR	KOSPI	Communication Services
Shinhan Financial	KR	KOSPI	Financials	신한지주
Hyundai Mobis	KR	KOSPI	Consumer Discretionary
LG Chem	KR	KOSPI	Energy & Chemicals
Samsung Life	KR	KOSPI	Financials
Hana Financial	KR	KOSPI	Financials	하나금융지주
KT&G	KR	KOSPI	Consumer Staples
Samsung Electro-Mechanics	KR	KOSPI	IT
Korea Zinc	KR	KOSPI	Steels & Materials
HD Hyundai Heavy Industries	KR	KOSPI	Heavy Industries
LG Electronics	KR	KOSPI	IT
Samsung Fire & Marine	KR	KOSPI	Financials
SK Innovation	KR	KOSPI	Energy & Chemicals
Hanwha Ocean	KR	KOSPI	Heavy Industries
Krafton	KR	KOSPI	Communication Services
Meritz Financial	KR	KOSPI	Financials
Woori Financial	KR	KOSPI	Financials	우리금융지주
HD Korea Shipbuilding & Offshore Engineering	KR	KOSPI	Heavy Industries
Samsung SDS	KR	KOSPI	IT
POSCO Future M	KR	KOSPI	Industrials
HMM	KR	KOSPI	Industrials
SK Telecom	KR	KOSPI	Communication Services
SK Square	KR	KOSPI	IT
Doosan Enerbility	KR	KOSPI	Heavy Industries
LG	KR	KOSPI	IT
KEPCO	KR	KOSPI	Consumer Staples	한국전력
SK	KR	KOSPI	Energy & Chemicals
Hyundai Glovis	KR	KOSPI	Industrials
Ecopro Materials	KR	KOSPI	Industrials
KakaoBank	KR	KOSPI	Financials
LG Innotek	KR	KOSPI	IT
Hanwha Solutions	KR	KOSPI	Energy & Chemicals
SK Biopharm	KR	KOSPI	Health Care
Doosan Bobcat	KR	KOSPI	Heavy Industries
S-Oil	KR	KOSPI	Energy & Chemicals
LG H&H	KR	KOSPI	Consumer Staples
Kakao Pay	KR	KOSPI	Financials
HD Hyundai	KR	KOSPI	Energy & Chemicals
Hyundai E&C	KR	KOSPI	Constructions
LG Uplus	KR	KOSPI	Communication Services
KT	KR	KOSPI	Communication Services
Netmarble	KR	KOSPI	Communication Services
HD Hyundai Electric	KR	KOSPI	Heavy Industries
Amorepacific	KR	KOSPI	Consumer Staples
Mirae Asset Securities	KR	KOSPI	Financials
Korea Aerospace	KR	KOSPI	Industrials
LIG Nex1	KR	KOSPI	Industrials
DB Insurance	KR	KOSPI	Financials
Hyundai Steel	KR	KOSPI	Steels & Materials
Coway	KR	KOSPI	Consumer Discretionary
NC	KR	KOSPI	Communication Services	엔씨소프트
Samsung Securities	KR	KOSPI	Financials
Hyundai Marine & Fire	KR	KOSPI	Financials
GS	KR	KOSPI	Energy & Chemicals
Samsung Card	KR	KOSPI	Financials
CJ CheilJedang	KR	KOSPI	Consumer Staples
Lotte Chemical	KR	KOSPI	Energy & Chemicals
Emart	KR	KOSPI	Consumer Staples
NH Investment & Securities	KR	KOSPI	Financials
Doosan Robotics	KR	KOSPI	Heavy Industries
Industrial Bank of Korea	KR	KOSPI	Financials	기업은행
Korea Gas	KR	KOSPI	Consumer Staples	한국가스공사
Hanwha Systems	KR	KOSPI	Industrials
Hanmi Semiconductor	KR	KOSPI	IT
Hybe	KR	KOSPI	Communication Services
Hankook & Company	KR	KOSPI	Consumer Discretionary
Korean Air	KR	KOSPI	Industrials	대한항공
Hyundai AutoEver	KR	KOSPI	IT
Kiwoom Securities	KR	KOSPI	Financials
LS Electric	KR	KOSPI	Industrials
KCC	KR	KOSPI	Constructions
Green Cross	KR	KOSPI	Health Care
Yuhan	KR	KOSPI	Health Care	유한양행
Daewoong Pharmaceutical	KR	KOSPI	Health Care
Hanmi Pharm	KR	KOSPI	Health Care
SK Bioscience	KR	KOSPI	Health Care
LG Display	KR	KOSPI	IT
CJ	KR	KOSPI	Consumer Staples
Lotte Shopping	KR	KOSPI	Consumer Discretionary
Shinsegae	KR	KOSPI	Consumer Discretionary	신세계
Hotel Shilla	KR	KOSPI	Consumer Discretionary
BGF Retail	KR	KOSPI	Consumer Staples
GS Retail	KR	KOSPI	Consumer Staples
Nongshim	KR	KOSPI	Consumer Staples	농심
Orion	KR	KOSPI	Consumer Staples
HiteJinro	KR	KOSPI	Consumer Staples
Cheil Worldwide	KR	KOSPI	Communication Services
Samsung Heavy Industries	KR	KOSPI	Heavy Industries	삼성중공업
Doosan	KR	KOSPI	Heavy Industries
LS	KR	KOSPI	Industrials
POSCO International	KR	KOSPI	Industrials
Pan Ocean	KR	KOSPI	Industrials
Kolon Industries	KR	KOSPI	Energy & Chemicals
Hanon Systems	KR	KOSPI	Consumer Discretionary
HL Mando	KR	KOSPI	Consumer Discretionary
Kangwon Land	KR	KOSPI	Consumer Discretionary	강원랜드
