Aeroflot	RU	MOEX	Aviation	Аэрофлот
Alrosa	RU	MOEX	Diamonds/Mining	Алроса
Bank Saint Petersburg	RU	MOEX	Banking	Банк Санкт-Петербург
Credit Bank of Moscow	RU	MOEX	Banking	Московский кредитный банк
Detsky Mir	RU	MOEX	Retail	Детский мир
En+ Group	RU	MOEX	Energy	Эн+ Груп
FGC UES	RU	MOEX	Utilities	ФСК ЕЭС
Gazprom	RU	MOEX	Oil & Gas	Газпром
Inter RAO	RU	MOEX	Energy	Интер РАО
Lenta	RU	MOEX	Retail	Лента
Lukoil	RU	MOEX	Oil & Gas	Лукойл
Magnit	RU	MOEX	Retail	Магнит
Mechel	RU	MOEX	Mining/Steel	Мечел
MMK	RU	MOEX	Steel	ММК
Moscow Exchange	RU	MOEX	Financial Services	Московская биржа
Mosenergo	RU	MOEX	Utilities	Мосэнерго
MTS	RU	MOEX	Telecommunications	МТС
Norilsk Nickel	RU	MOEX	Mining	Норильский никель
NLMK	RU	MOEX	Steel	НЛМК
Novatek	RU	MOEX	Oil & Gas	Новатэк
Ozon	RU	MOEX	E-commerce	Озон
PhosAgro	RU	MOEX	Chemicals	ФосАгро
PIK Group	RU	MOEX	Real Estate	ПИК
Polyus	RU	MOEX	Gold Mining	Полюс
Rosneft	RU	MOEX	Oil & Gas	Роснефть
Rostelecom	RU	MOEX	Telecommunications	Ростелеком
Rusagro	RU	MOEX	Agriculture	Русагро
Rusal	RU	MOEX	Aluminum	Русал
RusHydro	RU	MOEX	Energy	РусГидро
Sberbank	RU	MOEX	Banking	Сбербанк
Severstal	RU	MOEX	Steel	Северсталь
Sistema	RU	MOEX	Diversified	Система
Sovcombank	RU	MOEX	Banking	Совкомбанк
Sovcomflot	RU	MOEX	Shipping	Совкомфлот
Surgutneftegas	RU	MOEX	Oil & Gas	Сургутнефтегаз
Tatneft	RU	MOEX	Oil & Gas	Татнефть
T-Bank	RU	MOEX	Banking	Т-Банк
Transneft	RU	MOEX	Oil Transportation	Транснефть
Unipro	RU	MOEX	Utilities	Юнипро
VTB Bank	RU	MOEX	Banking	ВТБ
X5 Group	RU	MOEX	Retail	X5 Group
Yandex	RU	MOEX	Technology	Яндекс
