Anadolu Efes	TR	BIST30	Beverages
Akbank	TR	BIST30	Banks
Aselsan	TR	BIST30	Defense
BİM	TR	BIST30	Retail
Emlak Konut GYO	TR	BIST30	Real Estate
Enka İnşaat	TR	BIST30	Construction
Ereğli Demir Çelik	TR	BIST30	Steel
Ford Otosan	TR	BIST30	Automotive
Garanti BBVA	TR	BIST30	Banks
Gübretaş	TR	BIST30	Chemicals
Türkiye İş Bankası	TR	BIST30	Banks
Koç Holding	TR	BIST30	Conglomerate
Türkiye Altın İşletmeleri	TR	BIST30	Mining
Kardemir	TR	BIST30	Steel
Migros	TR	BIST30	Retail
Petkim	TR	BIST30	Petrochemicals
Sabancı Holding	TR	BIST30	Conglomerate
SASA Polyester	TR	BIST30	Chemicals
Şişecam	TR	BIST30	Glass & Materials
TAV Havalimanları	TR	BIST30	Transport Infrastructure
Turkcell	TR	BIST30	Telecom
Türk Hava Yolları	TR	BIST30	Airlines
Tofaş	TR	BIST30	Automotive
Türk Telekom	TR	BIST30	Telecom
Tüpraş	TR	BIST30	Energy
VakıfBank	TR	BIST30	Banks
Yapı Kredi	TR	BIST30	Banks
Pegasus Airlines	TR	BIST30	Airlines
Astor Enerji	TR	BIST30	Industrials
Destek Finans Faktoring	TR	BIST30	Financial Services
