3i	UK	FTSE100	Financial services
Aberdeen Group	UK	FTSE100	Financial services
Admiral Group	UK	FTSE100	Insurance
Airtel Africa	UK	FTSE100	Telecommunications services
Alliance Witan	UK	FTSE100	Investment trusts
Anglo American	UK	FTSE100	Mining
Antofagasta	UK	FTSE100	Mining
Associated British Foods	UK	FTSE100	Food & tobacco
AstraZeneca	UK	FTSE100	Pharmaceuticals & biotechnology
Auto Trader Group	UK	FTSE100	Media
Aviva	UK	FTSE100	Life insurance
Babcock International	UK	FTSE100	Aerospace & defence
BAE Systems	UK	FTSE100	Aerospace & defence
Barclays	UK	FTSE100	Banks
Barratt Redrow	UK	FTSE100	Household goods & home construction
Beazley	UK	FTSE100	Insurance
BP	UK	FTSE100	Oil & gas producers
British American Tobacco	UK	FTSE100	Tobacco
British Land	UK	FTSE100	Real estate
BT Group	UK	FTSE100	Telecommunications services
Bunzl	UK	FTSE100	Support services
Burberry Group	UK	FTSE100	Personal goods
Centrica	UK	FTSE100	Multiline utilities
Coca-Cola Europacific Partners	UK	FTSE100	Beverages
Coca-Cola HBC	UK	FTSE100	Beverages
Compass Group	UK	FTSE100	Support services
Computacenter	UK	FTSE100	Software & computer services
Convatec	UK	FTSE100	Health care equipment & supplies
Croda International	UK	FTSE100	Chemicals
DCC	UK	FTSE100	Support services
Diageo	UK	FTSE100	Beverages
Diploma	UK	FTSE100	Industrial support services
Endeavour Mining	UK	FTSE100	Mining
Entain	UK	FTSE100	Travel & leisure
Experian	UK	FTSE100	Support services
F&C Investment Trust	UK	FTSE100	Collective investments
Fresnillo	UK	FTSE100	Mining
Games Workshop	UK	FTSE100	Leisure goods
Glencore	UK	FTSE100	Mining
GSK	UK	FTSE100	Pharmaceuticals & biotechnology
Haleon	UK	FTSE100	Pharmaceuticals & biotechnology
Halma	UK	FTSE100	Electronic equipment & parts
Hiscox	UK	FTSE100	Non-life insurance
Howdens Joinery	UK	FTSE100	Homebuilding & construction supplies
HSBC	UK	FTSE100	Banks
ICG	UK	FTSE100	Financial services
IG Group	UK	FTSE100	Financial services
IHG Hotels & Resorts	UK	FTSE100	Travel & leisure
IMI	UK	FTSE100	Industrial engineering
Imperial Brands	UK	FTSE100	Tobacco
Informa	UK	FTSE100	Media
International Airlines Group	UK	FTSE100	Travel & leisure
Intertek	UK	FTSE100	Support services
Investec	UK	FTSE100	Financial services
JD Sports	UK	FTSE100	General retailers
Lion Finance Group	UK	FTSE100	Banking services
Kingfisher	UK	FTSE100	Retailers
Land Securities	UK	FTSE100	Real estate investment trusts
Legal & General	UK	FTSE100	Life insurance
Lloyds Banking Group	UK	FTSE100	Banks
LondonMetric Property	UK	FTSE100	Real estate investment trusts
London Stock Exchange Group	UK	FTSE100	Financial services
M&G	UK	FTSE100	Financial services
Marks & Spencer	UK	FTSE100	Food & drug retailing
Melrose Industries	UK	FTSE100	Aerospace & defence
Metlen Energy & Metals	UK	FTSE100	Multiline utilities
National Grid	UK	FTSE100	Multiline utilities
NatWest Group	UK	FTSE100	Banks
Next	UK	FTSE100	General retailers
Pearson	UK	FTSE100	Media
Pershing Square Holdings	UK	FTSE100	Financial services
Persimmon	UK	FTSE100	Household goods & home construction
Polar Capital Technology Trust	UK	FTSE100	Investment trusts
Prudential	UK	FTSE100	Life insurance
Reckitt	UK	FTSE100	Household goods & home construction
RELX	UK	FTSE100	Media
Rentokil Initial	UK	FTSE100	Support services
Rio Tinto	UK	FTSE100	Mining
Rolls-Royce Holdings	UK	FTSE100	Aerospace & defence
Sage Group	UK	FTSE100	Software & computer services
Sainsbury's	UK	FTSE100	Food & drug retailing
Schroders	UK	FTSE100	Financial services
Scottish Mortgage Investment Trust	UK	FTSE100	Collective investments
Segro	UK	FTSE100	Real estate investment trusts
Severn Trent	UK	FTSE100	Multiline utilities
Shell	UK	FTSE100	Oil & gas producers
Smiths Group	UK	FTSE100	General industrials
Smith & Nephew	UK	FTSE100	Health care equipment & supplies
Spirax Group	UK	FTSE100	Industrial engineering
SSE	UK	FTSE100	Electrical utilities & independent power producers
Standard Chartered	UK	FTSE100	Banks
Standard Life	UK	FTSE100	Life insurance
St. James's Place	UK	FTSE100	Financial services
Tesco	UK	FTSE100	Food & drug retailing
Tritax Big Box REIT	UK	FTSE100	Real estate investment trusts
Unilever	UK	FTSE100	Personal goods
United Utilities	UK	FTSE100	Multiline utilities
Vodafone Group	UK	FTSE100	Mobile telecommunications
Weir Group	UK	FTSE100	Industrial goods and services
Whitbread	UK	FTSE100	Retail hospitality
