3M	US	S&P500	Industrials	Industrial Conglomerates
A. O. Smith	US	S&P500	Industrials	Building Products
Abbott Laboratories	US	S&P500	Health Care	Health Care Equipment
AbbVie	US	S&P500	Health Care	Biotechnology
Accenture	US	S&P500	Information Technology	IT Consulting & Other Services
Adobe Inc.	US	S&P500	Information Technology	Application Software
Advanced Micro Devices	US	S&P500	Information Technology	Semiconductors
AES Corporation	US	S&P500	Utilities	Independent Power Producers & Energy Traders
Aflac	US	S&P500	Financials	Life & Health Insurance
Agilent Technologies	US	S&P500	Health Care	Life Sciences Tools & Services
Air Products	US	S&P500	Materials	Industrial Gases
Airbnb	US	S&P500	Consumer Discretionary	Hotels, Resorts & Cruise Lines
Akamai Technologies	US	S&P500	Information Technology	Internet Services & Infrastructure
Albemarle Corporation	US	S&P500	Materials	Specialty Chemicals
Alexandria Real Estate Equities	US	S&P500	Real Estate	Office REITs
Align Technology	US	S&P500	Health Care	Health Care Supplies
Allegion	US	S&P500	Industrials	Building Products
Alliant Energy	US	S&P500	Utilities	Electric Utilities
Allstate	US	S&P500	Financials	Property & Casualty Insurance
Alphabet Inc. (Class A)	US	S&P500	Communication Services	Interactive Media & Services
Alphabet Inc. (Class C)	US	S&P500	Communication Services	Interactive Media & Services
Altria	US	S&P500	Consumer Staples	Tobacco
Amazon	US	S&P500	Consumer Discretionary	Broadline Retail
Amcor	US	S&P500	Materials	Paper & Plastic Packaging Products & Materials
Ameren	US	S&P500	Utilities	Multi-Utilities
American Electric Power	US	S&P500	Utilities	Electric Utilities
American Express	US	S&P500	Financials	Consumer Finance
American International Group	US	S&P500	Financials	Multi-line Insurance
American Tower	US	S&P500	Real Estate	Telecom Tower REITs
American Water Works	US	S&P500	Utilities	Water Utilities
Ameriprise Financial	US	S&P500	Financials	Asset Management & Custody Banks
Ametek	US	S&P500	Industrials	Electrical Components & Equipment
Amgen	US	S&P500	Health Care	Biotechnology
Amphenol	US	S&P500	Information Technology	Electronic Components
Analog Devices	US	S&P500	Information Technology	Semiconductors
Aon plc	US	S&P500	Financials	Insurance Brokers
APA Corporation	US	S&P500	Energy	Oil & Gas Exploration & Production
Apollo Global Management	US	S&P500	Financials	Asset Management & Custody Banks
Apple Inc.	US	S&P500	Information Technology	Technology Hardware, Storage & Peripherals
Applied Materials	US	S&P500	Information Technology	Semiconductor Materials & Equipment
AppLovin	US	S&P500	Information Technology	Application Software
Aptiv	US	S&P500	Consumer Discretionary	Automotive Parts & Equipment
Arch Capital Group	US	S&P500	Financials	Property & Casualty Insurance
Archer Daniels Midland	US	S&P500	Consumer Staples	Agricultural Products & Services
Ares Management	US	S&P500	Financials	Asset Management & Custody Banks
Arista Networks	US	S&P500	Information Technology	Communications Equipment
Arthur J. Gallagher & Co.	US	S&P500	Financials	Insurance Brokers
Assurant	US	S&P500	Financials	Multi-line Insurance
AT&T	US	S&P500	Communication Services	Integrated Telecommunication Services
Atmos Energy	US	S&P500	Utilities	Gas Utilities
Autodesk	US	S&P500	Information Technology	Application Software
Automatic Data Processing	US	S&P500	Industrials	Human Resource & Employment Services
AutoZone	US	S&P500	Consumer Discretionary	Automotive Retail
AvalonBay Communities	US	S&P500	Real Estate	Multi-Family Residential REITs
Avery Dennison	US	S&P500	Materials	Paper & Plastic Packaging Products & Materials
Axon Enterprise	US	S&P500	Industrials	Aerospace & Defense
Baker Hughes	US	S&P500	Energy	Oil & Gas Equipment & Services
Ball Corporation	US	S&P500	Materials	Metal, Glass & Plastic Containers
Bank of America	US	S&P500	Financials	Diversified Banks
Baxter International	US	S&P500	Health Care	Health Care Equipment
Becton Dickinson	US	S&P500	Health Care	Health Care Equipment
Berkshire Hathaway	US	S&P500	Financials	Multi-Sector Holdings
