Vietcombank	VN	VN30	Banks
BIDV	VN	VN30	Banks
VietinBank	VN	VN30	Banks
Vinhomes	VN	VN30	Real Estate
Vingroup	VN	VN30	Conglomerate
Vinamilk	VN	VN30	Food Products
Hoa Phat Group	VN	VN30	Steel
FPT Corporation	VN	VN30	Technology
Masan Group	VN	VN30	Conglomerate
Mobile World Investment	VN	VN30	Retail
Techcombank	VN	VN30	Banks
Military Commercial Bank	VN	VN30	Banks
VPBank	VN	VN30	Banks
Asia Commercial Bank	VN	VN30	Banks
PetroVietnam Gas	VN	VN30	Energy
Petrolimex	VN	VN30	Energy
SSI Securities	VN	VN30	Financial Services
Vietcap Securities	VN	VN30	Financial Services
Sabeco	VN	VN30	Beverages
Refrigeration Electrical Engineering	VN	VN30	Industrials
Vietnam Rubber Group	VN	VN30	Materials
PetroVietnam Power	VN	VN30	Utilities
Vincom Retail	VN	VN30	Real Estate
Becamex IDC	VN	VN30	Real Estate
Phat Dat Real Estate	VN	VN30	Real Estate
Duc Giang Chemicals	VN	VN30	Chemicals
Vietjet Air	VN	VN30	Airlines
HDBank	VN	VN30	Banks
TPBank	VN	VN30	Banks
Sacombank	VN	VN30	Banks
