company,cc,vertical,index,raw_sector
Kweichow Moutai,CN,,CSI300,Consumer Staples
Ping An Insurance,CN,,CSI300,Financials
CATL (Contemporary Amperex Technology),CN,,CSI300,Industrials
China Merchants Bank,CN,,CSI300,Financials
Midea Group,CN,,CSI300,Consumer Discretionary
Wuliangye Yibin,CN,,CSI300,Consumer Staples
China Yangtze Power,CN,,CSI300,Utilities
Industrial Bank,CN,,CSI300,Financials
Zijin Mining Group,CN,,CSI300,Materials
CITIC Securities,CN,,CSI300,Financials
Jiangsu Hengrui Medicine,CN,,CSI300,Health Care
Industrial and Commercial Bank of China,CN,,CSI300,Financials
Inner Mongolia Yili Industrial Group,CN,,CSI300,Consumer Staples
East Money Information,CN,,CSI300,Financials
Gree Electric Appliances,CN,,CSI300,Consumer Discretionary
Mindray Bio-Medical Electronics,CN,,CSI300,Health Care
BYD,CN,,CSI300,Consumer Discretionary
Bank of Communications,CN,,CSI300,Financials
Wanhua Chemical Group,CN,,CSI300,Materials
BOE Technology Group,CN,,CSI300,Information Technology
Bank of Jiangsu,CN,,CSI300,Financials
Luxshare Precision Industry,CN,,CSI300,Information Technology
Shenzhen Inovance Technology,CN,,CSI300,Industrials
Agricultural Bank of China,CN,,CSI300,Financials
Hangzhou Hikvision Digital Technology,CN,,CSI300,Information Technology
Luzhou Lao Jiao,CN,,CSI300,Consumer Staples
Longi Green Energy Technology,CN,,CSI300,Information Technology
China Shenhua Energy,CN,,CSI300,Energy
Beijing-Shanghai High Speed Railway,CN,,CSI300,Industrials
China Petroleum & Chemical Corporation (Sinopec),CN,,CSI300,Energy
Shanxi Xinghuacun Fen Wine Factory,CN,,CSI300,Consumer Staples
China State Construction Engineering,CN,,CSI300,Industrials
WuXi AppTec,CN,,CSI300,Health Care
Muyuan Foodstuff,CN,,CSI300,Consumer Staples
Ping An Bank,CN,,CSI300,Financials
Wens Foodstuff Group,CN,,CSI300,Consumer Staples
China Minsheng Bank,CN,,CSI300,Financials
PetroChina,CN,,CSI300,Energy
Shaanxi Coal Industry Company,CN,,CSI300,Energy
Zhongji Innolight,CN,,CSI300,Information Technology
Semiconductor Manufacturing International Corporation (SMIC),CN,,CSI300,Information Technology
ZTE,CN,,CSI300,Information Technology
Bank of China,CN,,CSI300,Financials
S.F. Holding,CN,,CSI300,Industrials
NARI Technology,CN,,CSI300,Industrials
China Mobile,CN,,CSI300,Communication
Weichai Power,CN,,CSI300,Industrials
China United Network Communications (China Unicom),CN,,CSI300,Communication
Iflytek,CN,,CSI300,Information Technology
Qingdao Haier (Haier Smart Home),CN,,CSI300,Consumer Discretionary
China Telecom Corporation,CN,,CSI300,Communication
Sungrow Power Supply,CN,,CSI300,Industrials
Bank of Ningbo,CN,,CSI300,Financials
Haitong Securities Company,CN,,CSI300,Financials
Qinghai Salt Lake Potash,CN,,CSI300,Materials
China Pacific Insurance,CN,,CSI300,Financials
TCL Corporation,CN,,CSI300,Information Technology
China International Travel Service (China Tourism Group Duty Free),CN,,CSI300,Consumer Discretionary
Shanghai Pudong Development Bank,CN,,CSI300,Financials
Sany Heavy Industry,CN,,CSI300,Industrials
China National Nuclear Power,CN,,CSI300,Utilities
China CSSC Holdings,CN,,CSI300,Industrials
Hygon Information Technology,CN,,CSI300,Information Technology
CRRC Corporation,CN,,CSI300,Industrials
Bank of Beijing,CN,,CSI300,Financials
NAURA Technology Group,CN,,CSI300,Information Technology
TBEA,CN,,CSI300,Industrials
Huatai Securities,CN,,CSI300,Financials
Foxconn Industrial Internet,CN,,CSI300,Information Technology
Chongqing Changan Automobile,CN,,CSI300,Consumer Discretionary
Tongwei Company,CN,,CSI300,Information Technology
Poly Real Estate Group (Poly Developments),CN,,CSI300,Real Estate
Will Semiconductor,CN,,CSI300,Information Technology
SAIC Motor,CN,,CSI300,Consumer Discretionary
Fuyao Glass Industry Group,CN,,CSI300,Consumer Discretionary
China Vanke,CN,,CSI300,Real Estate
Aier Eye Hospital,CN,,CSI300,Health Care
Guotai Junan Securities,CN,,CSI300,Financials
Foshan Haitian Flavouring & Food,CN,,CSI300,Consumer Staples
Zhangzhou Pientzehuang Pharmaceutical,CN,,CSI300,Health Care
China Cosco Holdings (COSCO Shipping Holdings),CN,,CSI300,Industrials
China Three Gorges Renewables (Group),CN,,CSI300,Utilities
China Railway Group Limited,CN,,CSI300,Industrials
Bank of Shanghai,CN,,CSI300,Financials
Chongqing Zhifei Biological Products,CN,,CSI300,Health Care
Focus Media Information Technology,CN,,CSI300,Communication
Advanced Micro-Fabrication Equipment (AMEC),CN,,CSI300,Information Technology
Beijing Kingsoft Office Software,CN,,CSI300,Information Technology
Daqin Railway,CN,,CSI300,Industrials
Jiangsu Yanghe Brewery Joint-Stock,CN,,CSI300,Consumer Staples
China Everbright Bank,CN,,CSI300,Financials
Baoshan Iron and Steel,CN,,CSI300,Materials
United Imaging Healthcare,CN,,CSI300,Health Care
Dawning Information Industry (Sugon),CN,,CSI300,Information Technology
Anhui Conch Cement,CN,,CSI300,Materials
Zhejiang Sanhua Intelligent Controls,CN,,CSI300,Industrials
Tianqi Lithium Industries,CN,,CSI300,Materials
Postal Savings Bank of China,CN,,CSI300,Financials
China Shipbuilding Industry Company,CN,,CSI300,Industrials
CNOOC Limited,CN,,CSI300,Energy
HSBC Holdings plc,CN,,HSI,Finance
Hong Kong Exchanges and Clearing,CN,,HSI,Finance
China Construction Bank,CN,,HSI,Finance
AIA Group Limited,CN,,HSI,Finance
BOC Hong Kong Holdings,CN,,HSI,Finance
China Life,CN,,HSI,Finance
Bank of China Ltd,CN,,HSI,Finance
CLP Holdings Limited,CN,,HSI,Utilities
Hong Kong and China Gas Company,CN,,HSI,Utilities
Power Assets Holdings,CN,,HSI,Utilities
China Resources Power,CN,,HSI,Utilities
Cheung Kong Infrastructure Holdings,CN,,HSI,Utilities
ENN Energy,CN,,HSI,Utilities
Henderson Land Development,CN,,HSI,Properties
Sun Hung Kai Properties,CN,,HSI,Properties
Hang Lung Properties,CN,,HSI,Properties
China Overseas Land & Investment,CN,,HSI,Properties
Link REIT,CN,,HSI,Properties
Longfor Properties,CN,,HSI,Properties
China Resources Land,CN,,HSI,Properties
CK Asset Holdings,CN,,HSI,Properties
China Resources Mixc Lifestyle,CN,,HSI,Properties
Wharf Real Estate Investment Company,CN,,HSI,Properties
CK Hutchison Holdings,CN,,HSI,Commerce & Industry
Galaxy Entertainment Group,CN,,HSI,Commerce & Industry
MTR Corporation,CN,,HSI,Commerce & Industry
Geely Auto,CN,,HSI,Commerce & Industry
Alibaba Health,CN,,HSI,Commerce & Industry
CITIC Limited,CN,,HSI,Commerce & Industry
BYD Electronics,CN,,HSI,Commerce & Industry
WH Group,CN,,HSI,Commerce & Industry
China Resources Beer,CN,,HSI,Commerce & Industry
Orient Overseas (International),CN,,HSI,Commerce & Industry
Tingyi,CN,,HSI,Commerce & Industry
Sinopec Corp,CN,,HSI,Commerce & Industry
Techtronic Industries,CN,,HSI,Commerce & Industry
Tencent Holdings Limited,CN,,HSI,Commerce & Industry
China Unicom,CN,,HSI,Commerce & Industry
PetroChina Company Limited,CN,,HSI,Commerce & Industry
Xinyi Glass,CN,,HSI,Commerce & Industry
Zhongsheng Group,CN,,HSI,Commerce & Industry
China Mobile Ltd,CN,,HSI,Commerce & Industry
Xinyi Solar,CN,,HSI,Commerce & Industry
Semiconductor Manufacturing International Corporation,CN,,HSI,Commerce & Industry
Lenovo,CN,,HSI,Commerce & Industry
Kuaishou,CN,,HSI,Commerce & Industry
Hengan International Group,CN,,HSI,Commerce & Industry
CSPC Pharmaceutical Group,CN,,HSI,Commerce & Industry
Sinopharm Group,CN,,HSI,Commerce & Industry
Sino Biopharm,CN,,HSI,Commerce & Industry
BYD Company,CN,,HSI,Commerce & Industry
China Hongqiao Group,CN,,HSI,Commerce & Industry
Xiaomi,CN,,HSI,Commerce & Industry
Budweiser Brewing Company APAC,CN,,HSI,Commerce & Industry
Sands China,CN,,HSI,Commerce & Industry
Chow Tai Fook,CN,,HSI,Commerce & Industry
Li Auto,CN,,HSI,Commerce & Industry
Anta Sports,CN,,HSI,Commerce & Industry
ZTO Express,CN,,HSI,Commerce & Industry
WuXi Biologics,CN,,HSI,Commerce & Industry
Shenzhou International,CN,,HSI,Commerce & Industry
Mengniu Dairy,CN,,HSI,Commerce & Industry
Li-Ning,CN,,HSI,Commerce & Industry
