company,cc,vertical,index,raw_sector
Erste Group Bank,AT,,ATX,Banks
Verbund,AT,,ATX,Utilities
OMV,AT,,ATX,Energy
BAWAG Group,AT,,ATX,Banks
Andritz,AT,,ATX,Industrials
Wienerberger,AT,,ATX,Construction Materials
Voestalpine,AT,,ATX,Steel
Raiffeisen Bank International,AT,,ATX,Banks
Porr,AT,,ATX,Construction
CA Immo,AT,,ATX,Real Estate
EVN,AT,,ATX,Utilities
AT&S,AT,,ATX,Electronics
Österreichische Post,AT,,ATX,Logistics
Vienna Insurance Group,AT,,ATX,Insurance
Lenzing,AT,,ATX,Chemicals
Uniqa Insurance Group,AT,,ATX,Insurance
Schoeller-Bleckmann Oilfield Equipment,AT,,ATX,Energy Services
Immofinanz,AT,,ATX,Real Estate
Strabag,AT,,ATX,Construction
Do & Co,AT,,ATX,Catering
Novartis International AG,CH,,SMI,Health care
Roche Holding AG,CH,,SMI,Health care
Nestlé SA,CH,,SMI,Retail staples
ABB Ltd,CH,,SMI,Industrials
UBS Group AG,CH,,SMI,Financials
Compagnie Financière Richemont SA,CH,,SMI,Retail discretionary
Zurich Insurance Group AG,CH,,SMI,Financials
Holcim Limited,CH,,SMI,Materials
Swiss Reinsurance Company Ltd,CH,,SMI,Financials
Lonza Group AG,CH,,SMI,Materials
Swisscom AG,CH,,SMI,Communication services
Givaudan SA,CH,,SMI,Materials
Alcon Inc,CH,,SMI,Health care
Sika AG,CH,,SMI,Materials
Amrize AG,CH,,SMI,Materials
Swiss Life Holding AG,CH,,SMI,Financials
Kuehne + Nagel,CH,,SMI,Industrials
Geberit AG,CH,,SMI,Industrials
Partners Group Holding AG,CH,,SMI,Financials
Logitech International SA,CH,,SMI,Information technology
Adidas,DE,,DAX40,Apparel
Airbus,DE,,DAX40,Aerospace & Defence
Allianz,DE,,DAX40,Financial Services
BASF,DE,,DAX40,Chemicals
Bayer,DE,,DAX40,Pharmaceuticals
Beiersdorf,DE,,DAX40,Consumer Goods
BMW,DE,,DAX40,Automotive
Brenntag,DE,,DAX40,Distribution
Commerzbank,DE,,DAX40,Financial Services
Continental,DE,,DAX40,Automotive
Daimler Truck,DE,,DAX40,Automotive
Deutsche Bank,DE,,DAX40,Financial Services
Deutsche Börse,DE,,DAX40,Financial Services
Deutsche Post,DE,,DAX40,Logistics
Deutsche Telekom,DE,,DAX40,Telecommunication
E.ON,DE,,DAX40,Utilities
Fresenius,DE,,DAX40,Healthcare
Fresenius Medical Care,DE,,DAX40,Healthcare
GEA Group,DE,,DAX40,Mechanical Engineering
Hannover Re,DE,,DAX40,Insurance
Heidelberg Materials,DE,,DAX40,Construction Materials
Henkel,DE,,DAX40,Consumer Goods
Infineon Technologies,DE,,DAX40,Technology
Mercedes-Benz Group,DE,,DAX40,Automotive
Merck,DE,,DAX40,Pharmaceuticals
MTU Aero Engines,DE,,DAX40,Aerospace & Defence
Munich Re,DE,,DAX40,Insurance
Porsche SE,DE,,DAX40,Automotive
Qiagen,DE,,DAX40,Biotech
Rheinmetall,DE,,DAX40,Aerospace & Defence
RWE,DE,,DAX40,Utilities
SAP,DE,,DAX40,Technology
Scout24,DE,,DAX40,E-Commerce
Siemens,DE,,DAX40,Industrials
Siemens Energy,DE,,DAX40,Energy Technology
Siemens Healthineers,DE,,DAX40,Medical Equipment
Symrise,DE,,DAX40,Chemicals
Volkswagen Group,DE,,DAX40,Automotive
Vonovia,DE,,DAX40,Real Estate
Zalando,DE,,DAX40,E-Commerce
ACS,ES,,IBEX35,Construction
Acerinox,ES,,IBEX35,Steel
Amadeus IT Group,ES,,IBEX35,Tourism
Acciona,ES,,IBEX35,Construction
Acciona Energía,ES,,IBEX35,Energy
BBVA,ES,,IBEX35,Financial Services
Bankinter,ES,,IBEX35,Financial Services
CaixaBank,ES,,IBEX35,Financial Services
Cellnex Telecom,ES,,IBEX35,Telecommunications
Inmobiliaria Colonial,ES,,IBEX35,Real Estate
AENA,ES,,IBEX35,Aviation
Endesa,ES,,IBEX35,Energy
Enagás,ES,,IBEX35,Energy
Fluidra,ES,,IBEX35,Manufacturing
Ferrovial,ES,,IBEX35,Infrastructure
Grifols,ES,,IBEX35,Pharmaceuticals
International Airlines Group,ES,,IBEX35,Aviation
Iberdrola,ES,,IBEX35,Energy
Indra,ES,,IBEX35,Information Technology
Inditex,ES,,IBEX35,Textile
Logista,ES,,IBEX35,Logistics
Mapfre,ES,,IBEX35,Insurance
Merlin Properties,ES,,IBEX35,Real Estate
ArcelorMittal,ES,,IBEX35,Steel
Naturgy,ES,,IBEX35,Energy
Puig,ES,,IBEX35,Clothes and Cosmetics
Redeia Corporación,ES,,IBEX35,Energy
Repsol,ES,,IBEX35,Oil and Gas
Laboratorios Rovi [es],ES,,IBEX35,Pharmaceuticals
Banco Sabadell,ES,,IBEX35,Financial Services
Santander,ES,,IBEX35,Financial Services
Sacyr,ES,,IBEX35,Construction
Solaria,ES,,IBEX35,Solar Energy
Telefónica,ES,,IBEX35,Telecommunications
Unicaja,ES,,IBEX35,Financial Services
A2A,IT,,FTSEMIB,Utilities
Amplifon,IT,,FTSEMIB,Health Care
Avio,IT,,FTSEMIB,Aerospace
Azimut,IT,,FTSEMIB,Financial Services
Banca Mediolanum,IT,,FTSEMIB,Financial Services
Banca Monte dei Paschi di Siena,IT,,FTSEMIB,Banks
Banco BPM,IT,,FTSEMIB,Banks
BPER Banca,IT,,FTSEMIB,Banks
Brunello Cucinelli,IT,,FTSEMIB,Consumer Products and Services
Buzzi,IT,,FTSEMIB,Construction and Materials
Campari,IT,,FTSEMIB,"Food, Beverage and Tobacco"
Diasorin,IT,,FTSEMIB,Health Care
Enel,IT,,FTSEMIB,Utilities
Eni,IT,,FTSEMIB,Energy
Ferrari,IT,,FTSEMIB,Automobiles and Parts
Fincantieri,IT,,FTSEMIB,Shipbuilding
FinecoBank,IT,,FTSEMIB,Banks
Generali,IT,,FTSEMIB,Insurance
Hera,IT,,FTSEMIB,Utilities
Intesa Sanpaolo,IT,,FTSEMIB,Banks
INWIT,IT,,FTSEMIB,Telecommunications
Italgas,IT,,FTSEMIB,Utilities
Iveco,IT,,FTSEMIB,Industrial Goods and Services
Leonardo,IT,,FTSEMIB,Industrial Goods and Services
Lottomatica Group,IT,,FTSEMIB,Gambling
Mediobanca,IT,,FTSEMIB,Banks
Moncler,IT,,FTSEMIB,Consumer Products and Services
Nexi,IT,,FTSEMIB,Industrial Goods and Services
Poste italiane,IT,,FTSEMIB,Financial Services
Prysmian,IT,,FTSEMIB,Industrial Goods and Services
Recordati,IT,,FTSEMIB,Health Care
Saipem,IT,,FTSEMIB,Energy
Snam,IT,,FTSEMIB,Energy
Stellantis,IT,,FTSEMIB,Automobiles and Parts
STMicroelectronics,IT,,FTSEMIB,Technology
Telecom Italia,IT,,FTSEMIB,Telecommunications
Tenaris,IT,,FTSEMIB,Energy
Terna,IT,,FTSEMIB,Utilities
UniCredit,IT,,FTSEMIB,Banks
Unipol,IT,,FTSEMIB,Insurance
