company,cc,vertical,index,raw_sector
Aristocrat Leisure,AU,,ASX50,Gaming
JB Hi-Fi,AU,,ASX50,Retail
Wesfarmers,AU,,ASX50,Retail
Amcor,AU,,ASX50,Packaging
BHP Group,AU,,ASX50,Mining
Evolution Mining,AU,,ASX50,Mining
Fortescue,AU,,ASX50,Mining
James Hardie,AU,,ASX50,Building Materials
Lynas Rare Earths,AU,,ASX50,Mining
Newmont,AU,,ASX50,Mining
Northern Star Resources,AU,,ASX50,Mining
Rio Tinto,AU,,ASX50,Mining
South32,AU,,ASX50,Mining
ANZ Group,AU,,ASX50,Banks
Commonwealth Bank,AU,,ASX50,Banks
Insurance Australia Group,AU,,ASX50,Insurance
Macquarie Group,AU,,ASX50,Financials
Medibank,AU,,ASX50,Insurance
National Australia Bank,AU,,ASX50,Banks
QBE Insurance,AU,,ASX50,Insurance
Suncorp,AU,,ASX50,Insurance
Westpac,AU,,ASX50,Banks
Block,AU,,ASX50,Payments
Washington H. Soul Pattinson,AU,,ASX50,Investment
Brambles,AU,,ASX50,Industrials
Qantas Airways,AU,,ASX50,Airlines
Seven Group Holdings,AU,,ASX50,Industrials
Transurban,AU,,ASX50,Infrastructure
CAR Group,AU,,ASX50,Media
News Corp,AU,,ASX50,Media
REA Group,AU,,ASX50,Media
Telstra,AU,,ASX50,Telecom
Cochlear,AU,,ASX50,Healthcare
CSL,AU,,ASX50,Healthcare
Fisher & Paykel Healthcare,AU,,ASX50,Healthcare
Pro Medicus,AU,,ASX50,Healthcare
ResMed,AU,,ASX50,Healthcare
Sigma Healthcare,AU,,ASX50,Healthcare
Goodman Group,AU,,ASX50,Real Estate
Scentre Group,AU,,ASX50,Real Estate
Stockland,AU,,ASX50,Real Estate
Computershare,AU,,ASX50,IT Services
Xero,AU,,ASX50,Software
Santos,AU,,ASX50,Energy
Woodside Energy,AU,,ASX50,Energy
Origin Energy,AU,,ASX50,Utilities
Aspirasi Hidup Indonesia,ID,,LQ45,Retail
Adaro Minerals Indonesia,ID,,LQ45,Mining
Alamtri Resources Indonesia,ID,,LQ45,Mining
AKR Corporindo,ID,,LQ45,Energy Distribution
Amman Mineral Internasional,ID,,LQ45,Mining
Sumber Alfaria Trijaya,ID,,LQ45,Retail
Aneka Tambang,ID,,LQ45,Mining
Bank Jago,ID,,LQ45,Banks
Astra International,ID,,LQ45,Conglomerate
Bank Central Asia,ID,,LQ45,Banks
Bank Negara Indonesia,ID,,LQ45,Banks
Bank Rakyat Indonesia,ID,,LQ45,Banks
Bank Tabungan Negara,ID,,LQ45,Banks
Bank Mandiri,ID,,LQ45,Banks
Bank Syariah Indonesia,ID,,LQ45,Banks
Barito Pacific,ID,,LQ45,Petrochemicals
Charoen Pokphand Indonesia,ID,,LQ45,Food Products
Ciputra Development,ID,,LQ45,Real Estate
ESSA Industries Indonesia,ID,,LQ45,Chemicals
XL Axiata,ID,,LQ45,Telecom
GoTo Gojek Tokopedia,ID,,LQ45,Technology
Indofood CBP Sukses Makmur,ID,,LQ45,Food Products
Vale Indonesia,ID,,LQ45,Mining
Indofood Sukses Makmur,ID,,LQ45,Food Products
Indah Kiat Pulp & Paper,ID,,LQ45,Forestry & Paper
Indosat,ID,,LQ45,Telecom
Indo Tambangraya Megah,ID,,LQ45,Mining
Japfa Comfeed Indonesia,ID,,LQ45,Food Products
Jasa Marga,ID,,LQ45,Transport Infrastructure
Kalbe Farma,ID,,LQ45,Healthcare
MAP Aktif Adiperkasa,ID,,LQ45,Retail
Mitra Adiperkasa,ID,,LQ45,Retail
Merdeka Battery Materials,ID,,LQ45,Mining
Merdeka Copper Gold,ID,,LQ45,Mining
Medco Energi Internasional,ID,,LQ45,Energy
Perusahaan Gas Negara,ID,,LQ45,Energy
Pertamina Geothermal Energy,ID,,LQ45,Utilities
Bukit Asam,ID,,LQ45,Mining
Sido Muncul,ID,,LQ45,Healthcare
Semen Indonesia,ID,,LQ45,Construction Materials
Summarecon Agung,ID,,LQ45,Real Estate
Telkom Indonesia,ID,,LQ45,Telecom
Sarana Menara Nusantara,ID,,LQ45,Telecom Infrastructure
United Tractors,ID,,LQ45,Industrials
Unilever Indonesia,ID,,LQ45,Consumer Staples
Adani Enterprises,IN,,Nifty50,Metals & Mining
Adani Ports & SEZ,IN,,Nifty50,Services
Apollo Hospitals,IN,,Nifty50,Healthcare
Asian Paints,IN,,Nifty50,Consumer Durables
Axis Bank,IN,,Nifty50,Financial Services
Bajaj Auto,IN,,Nifty50,Automobile and Auto Components
Bajaj Finance,IN,,Nifty50,Financial Services
Bajaj Finserv,IN,,Nifty50,Financial Services
