company,cc,vertical,index,raw_sector
ANA Holdings Inc.,JP,,Nikkei225,Air Transport
"Japan Airlines Co., Ltd.",JP,,Nikkei225,Air Transport
Archion Corp.,JP,,Nikkei225,Automotive
"Honda Motor Co., Ltd.",JP,,Nikkei225,Automotive
Isuzu Motors Ltd.,JP,,Nikkei225,Automotive
Mazda Motor Corp.,JP,,Nikkei225,Automotive
Mitsubishi Motors Corp.,JP,,Nikkei225,Automotive
"Nissan Motor Co., Ltd.",JP,,Nikkei225,Automotive
Subaru Corp.,JP,,Nikkei225,Automotive
Suzuki Motor Corp.,JP,,Nikkei225,Automotive
Toyota Motor Corp.,JP,,Nikkei225,Automotive
"Yamaha Motor Company, Ltd.",JP,,Nikkei225,Automotive
"Aozora Bank, Ltd.",JP,,Nikkei225,Banking
"Chiba Bank, Ltd.",JP,,Nikkei225,Banking
"Fukuoka Financial Group, Inc.",JP,,Nikkei225,Banking
"Mitsubishi UFJ Financial Group, Inc.",JP,,Nikkei225,Banking
"Mizuho Financial Group, Inc.",JP,,Nikkei225,Banking
"Resona Holdings, Inc.",JP,,Nikkei225,Banking
Shizuoka Financial Group,JP,,Nikkei225,Banking
"Sumitomo Mitsui Financial Group, Inc.",JP,,Nikkei225,Banking
"Sumitomo Mitsui Trust Holdings, Inc.",JP,,Nikkei225,Banking
Yokohama Financial Group,JP,,Nikkei225,Banking
Asahi Kasei Corp.,JP,,Nikkei225,Chemicals
"Denka Co., Ltd.",JP,,Nikkei225,Chemicals
Fujifilm Holdings Corp.,JP,,Nikkei225,Chemicals
Kao Corp.,JP,,Nikkei225,Chemicals
"Kuraray Co., Ltd.",JP,,Nikkei225,Chemicals
Mitsubishi Chemical Holdings Corp.,JP,,Nikkei225,Chemicals
"Mitsui Chemicals, Inc.",JP,,Nikkei225,Chemicals
"Nissan Chemical Industries, Ltd.",JP,,Nikkei225,Chemicals
Nitto Denko,JP,,Nikkei225,Chemicals
Resonac Corp.,JP,,Nikkei225,Chemicals
"Shin-Etsu Chemical Co., Ltd.",JP,,Nikkei225,Chemicals
"Shiseido Co., Ltd.",JP,,Nikkei225,Chemicals
"Sumitomo Chemical Co., Ltd.",JP,,Nikkei225,Chemicals
Tokuyama Corporation,JP,,Nikkei225,Chemicals
Tosoh Corp.,JP,,Nikkei225,Chemicals
"Ube Industries, Ltd.",JP,,Nikkei225,Chemicals
KDDI Corp.,JP,,Nikkei225,Communications
Nippon Telegraph & Telephone Corp.,JP,,Nikkei225,Communications
SoftBank Corp.,JP,,Nikkei225,Communications
SoftBank Group Corp.,JP,,Nikkei225,Communications
Comsys Holdings Corp.,JP,,Nikkei225,Construction
"Daiwa House Industry Co., Ltd.",JP,,Nikkei225,Construction
Haseko Corp.,JP,,Nikkei225,Construction
JGC Corporation,JP,,Nikkei225,Construction
Kajima Corp.,JP,,Nikkei225,Construction
Obayashi Corp.,JP,,Nikkei225,Construction
"Sekisui House, Ltd.",JP,,Nikkei225,Construction
Shimizu Corp.,JP,,Nikkei225,Construction
Taisei Corp.,JP,,Nikkei225,Construction
Advantest Corp.,JP,,Nikkei225,Electric Machinery
"Alps Alpine Co., Ltd.",JP,,Nikkei225,Electric Machinery
Canon Inc.,JP,,Nikkei225,Electric Machinery
Denso Corp.,JP,,Nikkei225,Electric Machinery
FANUC Corp.,JP,,Nikkei225,Electric Machinery
"Fuji Electric Co., Ltd.",JP,,Nikkei225,Electric Machinery
Fujitsu Ltd.,JP,,Nikkei225,Electric Machinery
"Hitachi, Ltd.",JP,,Nikkei225,Electric Machinery
Keyence Corp.,JP,,Nikkei225,Electric Machinery
Kioxia Holdings Corp.,JP,,Nikkei225,Electric Machinery
Kyocera Corp.,JP,,Nikkei225,Electric Machinery
Lasertec,JP,,Nikkei225,Electric Machinery
"MinebeaMitsumi, Inc.",JP,,Nikkei225,Electric Machinery
Mitsubishi Electric Corp.,JP,,Nikkei225,Electric Machinery
"Murata Manufacturing Co., Ltd.",JP,,Nikkei225,Electric Machinery
NEC Corp.,JP,,Nikkei225,Electric Machinery
Nidec,JP,,Nikkei225,Electric Machinery
Omron Corp.,JP,,Nikkei225,Electric Machinery
Panasonic Corp.,JP,,Nikkei225,Electric Machinery
Renesas Electronics,JP,,Nikkei225,Electric Machinery
"Ricoh Co., Ltd.",JP,,Nikkei225,Electric Machinery
"Rohm Co., Ltd.",JP,,Nikkei225,Electric Machinery
SCREEN Holdings,JP,,Nikkei225,Electric Machinery
Seiko Epson Corp.,JP,,Nikkei225,Electric Machinery
Sharp Corporation,JP,,Nikkei225,Electric Machinery
Sony Corp.,JP,,Nikkei225,Electric Machinery
