company,cc,vertical,index,raw_sector
ALLOS,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
B3,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Banco do Brasil,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
BB Seguridade,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Bradesco,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Bradespar,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
BTG Pactual,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Caixa Seguridade,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Iguatemi,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
IRB(Re),BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Itaúsa,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Itaú Unibanco,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Santander Brasil,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Multiplan,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Porto,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis"
Brava Energia,BR,,IBOVESPA,Petróleo e gás
Cosan,BR,,IBOVESPA,Petróleo e gás
Petrobras,BR,,IBOVESPA,Petróleo e gás
PRIO,BR,,IBOVESPA,Petróleo e gás
PetroRecôncavo,BR,,IBOVESPA,Petróleo e gás
Raízen,BR,,IBOVESPA,Petróleo e gás
Ultra,BR,,IBOVESPA,Petróleo e gás
Vibra Energia,BR,,IBOVESPA,Petróleo e gás
Auren,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Axia Energia,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Cemig,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Copel,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Copasa,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
CPFL Energia,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Energisa,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Engie Brasil,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Eneva,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Equatorial,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
ISA Energia,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Sabesp,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Taesa,BR,,IBOVESPA,"Utilidade pública, energia e saneamento"
Embraer,BR,,IBOVESPA,Bens industriais e transporte
Localiza,BR,,IBOVESPA,Bens industriais e transporte
Marcopolo,BR,,IBOVESPA,Bens industriais e transporte
Motiva,BR,,IBOVESPA,Bens industriais e transporte
Rumo Logística,BR,,IBOVESPA,Bens industriais e transporte
Vamos,BR,,IBOVESPA,Bens industriais e transporte
WEG,BR,,IBOVESPA,Bens industriais e transporte
Ambev,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária"
Assaí,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária"
