company,cc,vertical,index,raw_sector
International Holding Company,AE,,ADX_DFM,Investment
TAQA,AE,,ADX_DFM,Utilities
ADNOC Gas,AE,,ADX_DFM,Energy
First Abu Dhabi Bank,AE,,ADX_DFM,Banks
Emirates NBD,AE,,ADX_DFM,Banks
e& (Emirates Telecom),AE,,ADX_DFM,Telecom
Dubai Electricity and Water Authority,AE,,ADX_DFM,Utilities
Abu Dhabi Commercial Bank,AE,,ADX_DFM,Banks
Emaar Properties,AE,,ADX_DFM,Real Estate
ADNOC Drilling,AE,,ADX_DFM,Energy
Abu Dhabi Islamic Bank,AE,,ADX_DFM,Banks
Alpha Dhabi Holding,AE,,ADX_DFM,Investment
Multiply Group,AE,,ADX_DFM,Investment
Borouge,AE,,ADX_DFM,Chemicals
Aldar Properties,AE,,ADX_DFM,Real Estate
Emirates Integrated Telecommunications (du),AE,,ADX_DFM,Telecom
Dubai Islamic Bank,AE,,ADX_DFM,Banks
Emaar Development,AE,,ADX_DFM,Real Estate
Mashreqbank,AE,,ADX_DFM,Banks
ADNOC (Abu Dhabi National Oil Company),AE,,ADX_DFM,Energy
Modon Holding,AE,,ADX_DFM,Real Estate
ADNOC Logistics & Services,AE,,ADX_DFM,Logistics
Ooredoo,AE,,ADX_DFM,Telecom
Salik Company,AE,,ADX_DFM,Transport
MBME Group,AE,,ADX_DFM,Technology
Commercial Bank of Dubai,AE,,ADX_DFM,Banks
Abu Dhabi Ports,AE,,ADX_DFM,Ports
Pure Health Holding,AE,,ADX_DFM,Healthcare
Fertiglobe,AE,,ADX_DFM,Chemicals
Presight AI,AE,,ADX_DFM,Technology
National Marine Dredging,AE,,ADX_DFM,Construction
RAKBANK,AE,,ADX_DFM,Banks
Americana Restaurants,AE,,ADX_DFM,Restaurants
Parkin,AE,,ADX_DFM,Transport
TECOM Group,AE,,ADX_DFM,Real Estate
Dubai Investments,AE,,ADX_DFM,Investment
National Bank of Fujairah,AE,,ADX_DFM,Banks
Sharjah Islamic Bank,AE,,ADX_DFM,Banks
Apex Investment,AE,,ADX_DFM,Investment
Dubai Financial Market,AE,,ADX_DFM,Financials
First International Bank of Israel,IL,,TA35,Banks
Israel Discount Bank,IL,,TA35,Banks
Bank Leumi,IL,,TA35,Banks
Mizrahi-Tefahot Bank,IL,,TA35,Banks
Bank Hapoalim,IL,,TA35,Banks
Phoenix Holdings,IL,,TA35,Insurance
Harel Insurance,IL,,TA35,Insurance
Clal Insurance Holdings,IL,,TA35,Insurance
Migdal Insurance,IL,,TA35,Insurance
Menora Mivtachim,IL,,TA35,Insurance
AMOT Investments,IL,,TA35,Real Estate
BIG Shopping Centers,IL,,TA35,Real Estate
Dimri Construction,IL,,TA35,Real Estate
Mivne Real Estate,IL,,TA35,Real Estate
Melisron,IL,,TA35,Real Estate
Azrieli Group,IL,,TA35,Real Estate
Delek Group,IL,,TA35,Oil & Gas
Navitas Petroleum,IL,,TA35,Oil & Gas
NewMed Energy,IL,,TA35,Oil & Gas
OPC Energy,IL,,TA35,Energy
Ormat Technologies,IL,,TA35,Energy
Enlight Renewable Energy,IL,,TA35,Energy
Tower Semiconductor,IL,,TA35,Semiconductors
Nova,IL,,TA35,Semiconductors
NICE,IL,,TA35,Technology
Camtek,IL,,TA35,Semiconductors
ICL Group,IL,,TA35,Chemicals
Elbit Systems,IL,,TA35,Defense
NextVision Stabilized Systems,IL,,TA35,Defense
Bezeq,IL,,TA35,Telecom
Teva Pharmaceutical Industries,IL,,TA35,Pharma
Fattal Holdings,IL,,TA35,Hotels
Shufersal,IL,,TA35,Retail
Strauss Group,IL,,TA35,Food
Shapir Engineering,IL,,TA35,Construction
AFMA,MA,,MASI,Financials / Assurances (courtage)
Afric Industries,MA,,MASI,Industrials
Afriquia Gaz,MA,,MASI,Oil & Gas / Gaz
AGMA,MA,,MASI,Financials / Assurances (courtage)
Alliances Développement Immobilier,MA,,MASI,Financials / Immobilier
Aluminium du Maroc,MA,,MASI,Industrials
AtlantaSanad,MA,,MASI,Financials / Assurances
Attijariwafa Bank,MA,,MASI,Financials / Banques
Auto Hall,MA,,MASI,Consumer Services / Distribution automobile
Auto Nejma,MA,,MASI,Consumer Services / Distribution automobile
Balima,MA,,MASI,Financials / Immobilier
Banque Centrale Populaire (BCP),MA,,MASI,Financials / Banques
Bank of Africa (BMCE),MA,,MASI,Financials / Banques
BMCI,MA,,MASI,Financials / Banques
Société des Boissons du Maroc,MA,,MASI,Consumer Goods / Boissons
Cartier Saada,MA,,MASI,Consumer Goods / Agroalimentaire
Crédit du Maroc,MA,,MASI,Financials / Banques
CIH Bank,MA,,MASI,Financials / Banques
Ciments du Maroc,MA,,MASI,Industrials / Bâtiment et matériaux de construction
Colorado,MA,,MASI,Basic Materials / Chimie
Cosumar,MA,,MASI,Consumer Goods / Agroalimentaire (sucre)
CTM,MA,,MASI,Consumer Services / Transport
Dari Couspate,MA,,MASI,Consumer Goods / Agroalimentaire
Delattre Levivier Maroc,MA,,MASI,Industrials / Ingénierie
Delta Holding,MA,,MASI,Industrials / Holding diversifié
Diac Salaf,MA,,MASI,Financials / Sociétés de financement
Disway,MA,,MASI,Technology / Distribution informatique
Douja Promotion Groupe Addoha,MA,,MASI,Financials / Immobilier
Ennakl,MA,,MASI,Consumer Services / Distribution automobile
Eqdom,MA,,MASI,Financials / Sociétés de financement
Fenie Brossette,MA,,MASI,Industrials / Distribution de biens d'équipement
Holcim (Maroc),MA,,MASI,Industrials / Bâtiment et matériaux de construction
Hightech Payment Systems (HPS),MA,,MASI,Technology / Services informatiques
IB Maroc.Com,MA,,MASI,Technology / Services informatiques
Involys,MA,,MASI,Technology / Logiciels
Itissalat Al-Maghrib (Maroc Telecom),MA,,MASI,Telecom / Télécommunications
Jet Contractors,MA,,MASI,Industrials / Bâtiment et construction
Label'Vie,MA,,MASI,Consumer Services / Grande distribution
LafargeHolcim Maroc,MA,,MASI,Industrials / Bâtiment et matériaux de construction
Lesieur Cristal,MA,,MASI,Consumer Goods / Agroalimentaire (huiles)
M2M Group,MA,,MASI,Technology / Services informatiques
Maghreb Oxygène,MA,,MASI,Basic Materials / Chimie (gaz industriels)
Maghrebail,MA,,MASI,Financials / Sociétés de financement (leasing)
Managem,MA,,MASI,Basic Materials / Mines
Maroc Leasing,MA,,MASI,Financials / Sociétés de financement (leasing)
Med Paper,MA,,MASI,Basic Materials / Papier
Microdata,MA,,MASI,Technology / Distribution informatique
Minière Touissit (CMT),MA,,MASI,Basic Materials / Mines
Oulmès (Eaux Minérales d'Oulmès),MA,,MASI,Consumer Goods / Boissons
Promopharm S.A.,MA,,MASI,Health Care / Industrie pharmaceutique
Réalisations Mécaniques (SRM),MA,,MASI,Industrials / Ingénierie
Rebab Company,MA,,MASI,Basic Materials
Résidences Dar Saada,MA,,MASI,Financials / Immobilier
Risma,MA,,MASI,Consumer Services / Hôtellerie et loisirs
S.M Monétique,MA,,MASI,Technology / Services informatiques
Sanlam Maroc,MA,,MASI,Financials / Assurances
Salafin,MA,,MASI,Financials / Sociétés de financement
Samir,MA,,MASI,Oil & Gas / Raffinage
SMI (Société Métallurgique d'Imiter),MA,,MASI,Basic Materials / Mines
SNEP,MA,,MASI,Basic Materials / Chimie
Sonasid,MA,,MASI,Basic Materials / Sidérurgie
Sothema,MA,,MASI,Health Care / Industrie pharmaceutique
Stokvis Nord Afrique,MA,,MASI,Industrials / Distribution de biens d'équipement
Stroc Industrie,MA,,MASI,Industrials / Ingénierie
TAQA Morocco,MA,,MASI,Utilities / Électricité
TotalEnergies Marketing Maroc,MA,,MASI,Oil & Gas / Distribution de carburants
Unimer,MA,,MASI,Consumer Goods / Agroalimentaire (conserves)
Wafa Assurance,MA,,MASI,Financials / Assurances
Zellidja S.A,MA,,MASI,Basic Materials / Mines
SODEP - Marsa Maroc,MA,,MASI,Industrials / Transport (exploitation portuaire)
Immorente Invest,MA,,MASI,Financials / Immobilier (foncière)
Mutandis SCA,MA,,MASI,Consumer Goods / Biens de consommation
Aradei Capital,MA,,MASI,Financials / Immobilier (foncière)
TGCC S.A.,MA,,MASI,Industrials / Bâtiment et construction
Disty Technologies,MA,,MASI,Technology / Distribution informatique
Akdital,MA,,MASI,Health Care / Cliniques privées
CFG Bank,MA,,MASI,Financials / Banques
CMGP Group,MA,,MASI,Consumer Goods / Industrie agricole (irrigation)
Vicenne,MA,,MASI,Technology / Dispositifs médicaux
Cash Plus,MA,,MASI,Technology / Services de paiement
Saudi Aramco,SA,,TADAWUL,Energy
Al Rajhi Bank,SA,,TADAWUL,Banks
Saudi National Bank,SA,,TADAWUL,Banks
Ma'aden,SA,,TADAWUL,Mining
Saudi Telecom Company,SA,,TADAWUL,Telecom
SABIC,SA,,TADAWUL,Chemicals
ACWA Power,SA,,TADAWUL,Utilities
Riyad Bank,SA,,TADAWUL,Banks
Dr. Sulaiman Al Habib Medical Services,SA,,TADAWUL,Healthcare
Saudi Electricity,SA,,TADAWUL,Utilities
Alinma Bank,SA,,TADAWUL,Banks
Saudi British Bank,SA,,TADAWUL,Banks
Saudi Arabian Fertilizer Company,SA,,TADAWUL,Chemicals
Elm Company,SA,,TADAWUL,Technology
Banque Saudi Fransi,SA,,TADAWUL,Banks
Etihad Etisalat (Mobily),SA,,TADAWUL,Telecom
Almarai,SA,,TADAWUL,Food
Kingdom Holding,SA,,TADAWUL,Investment
Arab National Bank,SA,,TADAWUL,Banks
Bank Albilad,SA,,TADAWUL,Banks
Petro Rabigh,SA,,TADAWUL,Energy
Umm Al Qura for Development and Construction,SA,,TADAWUL,Real Estate
Bupa Arabia,SA,,TADAWUL,Insurance
Arabian Internet and Communications Services,SA,,TADAWUL,Technology
Luberef,SA,,TADAWUL,Energy
Dar Al Arkan Real Estate Development,SA,,TADAWUL,Real Estate
The Company for Cooperative Insurance (Tawuniya),SA,,TADAWUL,Insurance
Jarir Marketing,SA,,TADAWUL,Retail
ADES Holding,SA,,TADAWUL,Energy
Jabal Omar Development,SA,,TADAWUL,Real Estate
Yanbu National Petrochemical (Yansab),SA,,TADAWUL,Chemicals
Saudi Investment Bank,SA,,TADAWUL,Banks
Makkah Construction & Development,SA,,TADAWUL,Construction
National Shipping Company (Bahri),SA,,TADAWUL,Shipping
Riyadh Cables Group,SA,,TADAWUL,Industrials
Bank AlJazira,SA,,TADAWUL,Banks
Electrical Industries Company,SA,,TADAWUL,Manufacturing
Saudi Tadawul Group Holding,SA,,TADAWUL,Financials
SAL Saudi Logistics Services,SA,,TADAWUL,Logistics
Mouwasat Medical Services,SA,,TADAWUL,Healthcare
Absa Group,ZA,,JSE40,Banks
Anglo American,ZA,,JSE40,Mining
AngloGold Ashanti,ZA,,JSE40,Mining
Anheuser-Busch InBev,ZA,,JSE40,Beverages
Aspen Pharmacare,ZA,,JSE40,Pharma
BHP Group,ZA,,JSE40,Mining
Bid Corporation,ZA,,JSE40,Food
Bidvest Group,ZA,,JSE40,Conglomerate
British American Tobacco,ZA,,JSE40,Tobacco
Capitec Bank,ZA,,JSE40,Banks
Clicks Group,ZA,,JSE40,Retail
Discovery,ZA,,JSE40,Insurance
Exxaro Resources,ZA,,JSE40,Mining
FirstRand,ZA,,JSE40,Banks
Glencore,ZA,,JSE40,Mining
Gold Fields,ZA,,JSE40,Mining
Growthpoint Properties,ZA,,JSE40,Real Estate
Impala Platinum,ZA,,JSE40,Mining
Investec Ltd,ZA,,JSE40,Banks
Investec PLC,ZA,,JSE40,Banks
Mondi,ZA,,JSE40,Paper
Mr Price Group,ZA,,JSE40,Retail
MTN Group,ZA,,JSE40,Telecom
MultiChoice Group,ZA,,JSE40,Media
Naspers,ZA,,JSE40,Media
Nedbank Group,ZA,,JSE40,Banks
NEPI Rockcastle,ZA,,JSE40,Real Estate
Northam Platinum,ZA,,JSE40,Mining
Old Mutual,ZA,,JSE40,Insurance
Prosus,ZA,,JSE40,Technology
Reinet Investments,ZA,,JSE40,Investments
Remgro,ZA,,JSE40,Investments
RMB Holdings,ZA,,JSE40,Financials
Sanlam,ZA,,JSE40,Insurance
Sasol,ZA,,JSE40,Chemicals
Shoprite Holdings,ZA,,JSE40,Retail
Standard Bank Group,ZA,,JSE40,Banks
Valterra Platinum,ZA,,JSE40,Mining
Vodacom Group,ZA,,JSE40,Telecom
Woolworths Holdings,ZA,,JSE40,Retail
