company,cc,vertical,index,raw_sector
AB InBev,BE,,BEL20,Beverages
Ackermans & van Haaren,BE,,BEL20,Industrials
Aedifica,BE,,BEL20,Real Estate
Ageas,BE,,BEL20,Insurance
argenx,BE,,BEL20,Healthcare
Aperam,BE,,BEL20,Materials
Azelis Group,BE,,BEL20,Chemicals Distribution
D'Ieteren,BE,,BEL20,Consumer Discretionary
Elia Group,BE,,BEL20,Utilities
GBL,BE,,BEL20,Financials
KBC Group,BE,,BEL20,Banks
Lotus Bakeries,BE,,BEL20,Food Products
Melexis,BE,,BEL20,Semiconductors
Montea,BE,,BEL20,Real Estate
Sofina,BE,,BEL20,Financials
Solvay,BE,,BEL20,Chemicals
Syensqo,BE,,BEL20,Chemicals
UCB,BE,,BEL20,Healthcare
Umicore,BE,,BEL20,Materials
WDP,BE,,BEL20,Real Estate
A.P. Møller-Mærsk,DK,,OMXC25,Shipping
Sydbank,DK,,OMXC25,Banks
Ambu,DK,,OMXC25,Healthcare
Carlsberg,DK,,OMXC25,Beverages
Coloplast,DK,,OMXC25,Healthcare
Danske Bank,DK,,OMXC25,Banks
Demant,DK,,OMXC25,Healthcare
DSV,DK,,OMXC25,Logistics
FLSmidth,DK,,OMXC25,Industrials
Genmab,DK,,OMXC25,Pharma
GN Store Nord,DK,,OMXC25,Healthcare
ISS,DK,,OMXC25,Services
Jyske Bank,DK,,OMXC25,Banks
NKT,DK,,OMXC25,Industrials
Nordea Bank,DK,,OMXC25,Banks
Novo Nordisk,DK,,OMXC25,Pharma
Novonesis,DK,,OMXC25,Biotech
Pandora,DK,,OMXC25,Consumer Goods
Rockwool,DK,,OMXC25,Building Materials
Royal Unibrew,DK,,OMXC25,Beverages
Tryg,DK,,OMXC25,Insurance
Vestas Wind Systems,DK,,OMXC25,Energy
Zealand Pharma,DK,,OMXC25,Pharma
Ørsted,DK,,OMXC25,Utilities
Elisa,FI,,OMXH25,Telecom
Fortum,FI,,OMXH25,Utilities
Hiab,FI,,OMXH25,Industrials
Huhtamäki,FI,,OMXH25,Packaging
Kalmar,FI,,OMXH25,Industrials
Kemira,FI,,OMXH25,Chemicals
Kesko,FI,,OMXH25,Retail
Kojamo,FI,,OMXH25,Real Estate
KONE,FI,,OMXH25,Industrials
Konecranes,FI,,OMXH25,Industrials
Mandatum,FI,,OMXH25,Financials
Metso,FI,,OMXH25,Industrials
Neste,FI,,OMXH25,Energy
Nokia,FI,,OMXH25,Telecom Equipment
Nokian Tyres,FI,,OMXH25,Consumer Discretionary
Nordea,FI,,OMXH25,Banks
Orion,FI,,OMXH25,Healthcare
Outokumpu,FI,,OMXH25,Materials
Qt Group,FI,,OMXH25,Software
Sampo,FI,,OMXH25,Insurance
Stora Enso,FI,,OMXH25,Forestry & Paper
TietoEVRY,FI,,OMXH25,IT Services
UPM-Kymmene,FI,,OMXH25,Forestry & Paper
Valmet,FI,,OMXH25,Industrials
Wärtsilä,FI,,OMXH25,Industrials
AIB Group,IE,,ISEQ20,Banks
Bank of Ireland,IE,,ISEQ20,Banks
Cairn Homes,IE,,ISEQ20,Homebuilding
Donegal Investment Group,IE,,ISEQ20,Food Products
FBD Holdings,IE,,ISEQ20,Insurance
Glanbia,IE,,ISEQ20,Food Products
Glenveagh Properties,IE,,ISEQ20,Homebuilding
Greencoat Renewables,IE,,ISEQ20,Utilities
Hammerson,IE,,ISEQ20,Real Estate
Irish Continental Group,IE,,ISEQ20,Transport
Irish Residential Properties REIT,IE,,ISEQ20,Real Estate
Kenmare Resources,IE,,ISEQ20,Mining
Kerry Group,IE,,ISEQ20,Food Products
Kingspan Group,IE,,ISEQ20,Building Materials
Malin Corporation,IE,,ISEQ20,Healthcare
Mincon Group,IE,,ISEQ20,Industrials
Origin Enterprises,IE,,ISEQ20,Agribusiness
Permanent TSB,IE,,ISEQ20,Banks
Ryanair Holdings,IE,,ISEQ20,Airlines
Uniphar,IE,,ISEQ20,Healthcare
ABN AMRO,NL,,AEX,Banks
Adyen,NL,,AEX,Payments
Aegon,NL,,AEX,Insurance
Ahold Delhaize,NL,,AEX,Retail
AkzoNobel,NL,,AEX,Chemicals
ArcelorMittal,NL,,AEX,Steel
ASM International,NL,,AEX,Semiconductors
ASML Holding,NL,,AEX,Semiconductors
ASR Nederland,NL,,AEX,Insurance
BE Semiconductor Industries,NL,,AEX,Semiconductors
DSM-Firmenich,NL,,AEX,Chemicals
Exor,NL,,AEX,Holding
Heineken,NL,,AEX,Beverages
IMCD,NL,,AEX,Chemicals
ING Group,NL,,AEX,Banks
KPN,NL,,AEX,Telecom
NN Group,NL,,AEX,Insurance
Philips,NL,,AEX,Healthcare
Prosus,NL,,AEX,Technology
Randstad,NL,,AEX,Staffing
RELX,NL,,AEX,Media
Shell plc,NL,,AEX,Energy
Universal Music Group,NL,,AEX,Media
Unilever,NL,,AEX,Consumer Goods
Wolters Kluwer,NL,,AEX,Media
Aker BP,NO,,OBX,Energy
BW LPG,NO,,OBX,Shipping
DNB Bank,NO,,OBX,Banks
Equinor,NO,,OBX,Energy
Frontline,NO,,OBX,Shipping
Gjensidige Forsikring,NO,,OBX,Insurance
Golden Ocean Group,NO,,OBX,Shipping
Hafnia,NO,,OBX,Shipping
Höegh Autoliners,NO,,OBX,Shipping
Kongsberg Gruppen,NO,,OBX,Industrials
Mowi,NO,,OBX,Aquaculture
MPC Container Ships,NO,,OBX,Shipping
Nordic Semiconductor,NO,,OBX,Semiconductors
Norsk Hydro,NO,,OBX,Materials
Norwegian Air Shuttle,NO,,OBX,Airlines
Orkla,NO,,OBX,Food Products
SalMar,NO,,OBX,Aquaculture
Storebrand,NO,,OBX,Insurance
Subsea 7,NO,,OBX,Energy Services
Telenor,NO,,OBX,Telecom
TGS,NO,,OBX,Energy Services
Tomra Systems,NO,,OBX,Industrials
Vår Energi,NO,,OBX,Energy
Wallenius Wilhelmsen,NO,,OBX,Shipping
Yara International,NO,,OBX,Chemicals
ABB,SE,,OMXS30,Industrials
Addtech,SE,,OMXS30,Industrials
Alfa Laval,SE,,OMXS30,Industrials
Assa Abloy,SE,,OMXS30,Industrials
