company,cc,vertical,index,raw_sector
3M,US,,S&P500,Industrials
A. O. Smith,US,,S&P500,Industrials
Abbott Laboratories,US,,S&P500,Health Care
AbbVie,US,,S&P500,Health Care
Accenture,US,,S&P500,Information Technology
Adobe Inc.,US,,S&P500,Information Technology
Advanced Micro Devices,US,,S&P500,Information Technology
AES Corporation,US,,S&P500,Utilities
Aflac,US,,S&P500,Financials
Agilent Technologies,US,,S&P500,Health Care
Air Products,US,,S&P500,Materials
Airbnb,US,,S&P500,Consumer Discretionary
Akamai Technologies,US,,S&P500,Information Technology
Albemarle Corporation,US,,S&P500,Materials
Alexandria Real Estate Equities,US,,S&P500,Real Estate
Align Technology,US,,S&P500,Health Care
Allegion,US,,S&P500,Industrials
Alliant Energy,US,,S&P500,Utilities
Allstate,US,,S&P500,Financials
Alphabet Inc. (Class A),US,,S&P500,Communication Services
Alphabet Inc. (Class C),US,,S&P500,Communication Services
Altria,US,,S&P500,Consumer Staples
Amazon,US,,S&P500,Consumer Discretionary
Amcor,US,,S&P500,Materials
Ameren,US,,S&P500,Utilities
American Electric Power,US,,S&P500,Utilities
American Express,US,,S&P500,Financials
American International Group,US,,S&P500,Financials
American Tower,US,,S&P500,Real Estate
American Water Works,US,,S&P500,Utilities
Ameriprise Financial,US,,S&P500,Financials
Ametek,US,,S&P500,Industrials
Amgen,US,,S&P500,Health Care
Amphenol,US,,S&P500,Information Technology
Analog Devices,US,,S&P500,Information Technology
Aon plc,US,,S&P500,Financials
APA Corporation,US,,S&P500,Energy
Apollo Global Management,US,,S&P500,Financials
Apple Inc.,US,,S&P500,Information Technology
Applied Materials,US,,S&P500,Information Technology
AppLovin,US,,S&P500,Information Technology
Aptiv,US,,S&P500,Consumer Discretionary
Arch Capital Group,US,,S&P500,Financials
Archer Daniels Midland,US,,S&P500,Consumer Staples
Ares Management,US,,S&P500,Financials
Arista Networks,US,,S&P500,Information Technology
Arthur J. Gallagher & Co.,US,,S&P500,Financials
Assurant,US,,S&P500,Financials
AT&T,US,,S&P500,Communication Services
Atmos Energy,US,,S&P500,Utilities
Autodesk,US,,S&P500,Information Technology
Automatic Data Processing,US,,S&P500,Industrials
AutoZone,US,,S&P500,Consumer Discretionary
AvalonBay Communities,US,,S&P500,Real Estate
Avery Dennison,US,,S&P500,Materials
Axon Enterprise,US,,S&P500,Industrials
Baker Hughes,US,,S&P500,Energy
