company,cc,market_cap_usd,revenue_usd,employees,ticker
Kweichow Moutai,CN,225000000000,23909722222,34992,600519
Ping An Insurance,CN,130355555556,132348611111,258806,601318
CATL (Contemporary Amperex Technology),CN,251388888889,65018055556,185839,300750
China Merchants Bank,CN,138204166667,41501388889,121585,600036
Midea Group,CN,88670833333,63848611111,198570,000333
Wuliangye Yibin,CN,40347222222,6427777778,25216,000858
China Yangtze Power,CN,98858333333,12130555556,8482,600900
Industrial Bank,CN,53670833333,21390277778,68963,601166
Zijin Mining Group,CN,117844444444,51201388889,66708,601899
CITIC Securities,CN,57473611111,11463888889,26823,600030
Jiangsu Hengrui Medicine,CN,50301388889,4522222222,20602,600276
Industrial and Commercial Bank of China,CN,356944444444,93526388889,409758,601398
Inner Mongolia Yili Industrial Group,CN,23922222222,16352777778,62666,600887
East Money Information,CN,44565277778,2430555556,6403,300059
Gree Electric Appliances,CN,31470833333,23876388889,71966,000651
Mindray Bio-Medical Electronics,CN,25330555556,4638888889,21288,300760
BYD,CN,107516666667,108865277778,869600,002594
Bank of Communications,CN,82076388889,29501388889,97932,601328
Hangzhou Hikvision Digital Technology,CN,45531944444,13151388889,57202,002415
Wanhua Chemical Group,CN,32822222222,29752777778,30772,600309
BOE Technology Group,CN,30901388889,28470833333,109895,000725
Bank of Jiangsu,CN,29412500000,9395833333,21889,600919
Luxshare Precision Industry,CN,65111111111,49229166667,416197,002475
Shenzhen Inovance Technology,CN,23444444444,6426388889,27292,300124
Agricultural Bank of China,CN,309722222222,83456944444,457835,601288
Luzhou Lao Jiao,CN,17402777778,3388888889,3912,000568
Longi Green Energy Technology,CN,13436111111,9429166667,32775,601012
China Shenhua Energy,CN,133172222222,41073611111,91392,601088
Beijing-Shanghai High Speed Railway,CN,34248611111,6027777778,89,601816
China Petroleum & Chemical Corporation (Sinopec),CN,82277777778,381944444444,351104,600028
Shanxi Xinghuacun Fen Wine Factory,CN,21180555556,5155555556,14026,600809
China State Construction Engineering,CN,26973611111,283333333333,370272,601668
WuXi AppTec,CN,52611111111,6416666667,33834,603259
Muyuan Foodstuff,CN,30979166667,19163888889,127550,002714
Ping An Bank,CN,29863888889,12784722222,41698,000001
Wens Foodstuff Group,CN,12965277778,14431944444,49876,300498
China Minsheng Bank,CN,20929166667,11625000000,61658,600016
PetroChina,CN,270833333333,395833333333,367173,601857
Shaanxi Coal Industry Company,CN,34000000000,21801388889,43455,601225
Zhongji Innolight,CN,173611111111,7091666667,11625,300308
Semiconductor Manufacturing International Corporation (SMIC),CN,107629166667,9181944444,19952,688981
ZTE,CN,23172222222,18877777778,65095,000063
Bank of China,CN,248611111111,78745833333,313746,601988
S.F. Holding,CN,23694444444,43405555556,158761,002352
NARI Technology,CN,27031944444,9291666667,12781,600406
China Mobile,CN,215277777778,145833333333,461345,600941
Weichai Power,CN,32620833333,32904166667,101440,000338
China United Network Communications (China Unicom),CN,19193055556,54401388889,237251,600050
Iflytek,CN,13508333333,3850000000,16818,002230
Qingdao Haier (Haier Smart Home),CN,26558333333,41238888889,134995,600690
China Telecom Corporation,CN,72531944444,72276388889,277911,601728
Sungrow Power Supply,CN,33583333333,11904166667,19006,300274
Bank of Ningbo,CN,28936111111,7987500000,24857,002142
Qinghai Salt Lake Potash,CN,19313888889,2587500000,5864,000792
China Pacific Insurance,CN,41123611111,45919444444,94990,601601
TCL Corporation,CN,14563888889,26051388889,71419,000100
China International Travel Service (China Tourism Group Duty Free),CN,15731944444,7379166667,14485,601888
Shanghai Pudong Development Bank,CN,41863888889,15140277778,62198,600000
Sany Heavy Industry,CN,25137500000,12870833333,28469,600031
China National Nuclear Power,CN,25966666667,11212500000,22306,601985
China CSSC Holdings,CN,35286111111,23240277778,41839,600150
Hygon Information Technology,CN,106830555556,2223611111,3333,688041
CRRC Corporation,CN,22863888889,38640277778,151602,601766
Bank of Beijing,CN,14947222222,5965277778,19975,601169
NAURA Technology Group,CN,77004166667,5759722222,21101,002371
TBEA,CN,13791666667,13725000000,31806,600089
Huatai Securities,CN,24469444444,5486111111,15511,601688
Foxconn Industrial Internet,CN,173611111111,137993055556,217084,601138
Chongqing Changan Automobile,CN,9073611111,22576388889,58274,000625
Tongwei Company,CN,7088888889,11155555556,44798,600438
Poly Real Estate Group (Poly Developments),CN,8470833333,41611111111,44445,600048
Will Semiconductor,CN,17531944444,4000000000,6160,603501
SAIC Motor,CN,16836111111,91083333333,179797,600104
Fuyao Glass Industry Group,CN,19452777778,6429166667,42541,600660
China Vanke,CN,4937500000,31162500000,131429,000002
Aier Eye Hospital,CN,11276388889,3155555556,42817,300015
Guotai Junan Securities,CN,43543055556,9248611111,26228,601211
Foshan Haitian Flavouring & Food,CN,29362500000,4109722222,9160,603288
Zhangzhou Pientzehuang Pharmaceutical,CN,11444444444,1194444444,2886,600436
China Cosco Holdings (COSCO Shipping Holdings),CN,31334722222,29630555556,32768,601919
China Three Gorges Renewables (Group),CN,15604166667,3850000000,7427,600905
China Railway Group Limited,CN,14786111111,150000000000,289250,601390
Bank of Shanghai,CN,18056944444,5869444444,14558,601229
Chongqing Zhifei Biological Products,CN,4215277778,1215277778,6292,300122
Focus Media Information Technology,CN,10330555556,1780555556,5084,002027
Advanced Micro-Fabrication Equipment (AMEC),CN,49913888889,1823611111,2963,688012
Beijing Kingsoft Office Software,CN,15462500000,866666667,6048,688111
Daqin Railway,CN,13652777778,10890277778,88026,601006
