company,cc,market_cap_usd,revenue_usd,employees,ticker
Aristocrat Leisure,AU,24506666667,4200000000,7300,ALL.AX
JB Hi-Fi,AU,5693333333,7313333333,16000,JBH.AX
Wesfarmers,AU,66686666667,30466666667,120000,WES.AX
Amcor,AU,19026666667,21553333333,77000,AMC.AX
BHP Group,AU,205360000000,53960000000,40648,BHP.AX
Evolution Mining,AU,15386666667,3406666667,1273,EVN.AX
Fortescue,AU,38500000000,16333333333,15745,FMG.AX
James Hardie,AU,13486666667,7050000000,7500,JHX.AX
Lynas Rare Earths,AU,10320000000,371006667,,LYC.AX
Newmont,AU,96533333333,22670000000,17500,NEM.AX
Northern Star Resources,AU,19686666667,4640000000,3383,NST.AX
Rio Tinto,AU,150520000000,57606666667,56890,RIO.AX
South32,AU,13906666667,5900000000,8892,S32.AX
ANZ Group,AU,72226666667,14500000000,40072,ANZ.AX
Commonwealth Bank,AU,191393333333,18980000000,51617,CBA.AX
Insurance Australia Group,AU,13113333333,11573333333,15000,IAG.AX
Macquarie Group,AU,62386666667,13073333333,19124,MQG.AX
Medibank,AU,9380000000,5706666667,3604,MPL.AX
National Australia Bank,AU,81860000000,13713333333,42471,NAB.AX
QBE Insurance,AU,24393333333,18710000000,13196,QBE.AX
Suncorp,AU,13406666667,10053333333,11500,SUN.AX
Westpac,AU,82733333333,14846666667,33305,WBC.AX
Block,AU,66510000000,24190000000,10205,XYZ.AX
Washington H. Soul Pattinson,AU,11540000000,940000000,56,SOL.AX
Brambles,AU,16980000000,6840000000,12058,BXB.AX
Qantas Airways,AU,10040000000,15880000000,20000,QAN.AX
Seven Group Holdings,AU,11940000000,6973333333,11006,SVW.AX
Transurban,AU,30413333333,2513333333,4100,TCL.AX
CAR Group,AU,6286666667,820000000,2500,CAR.AX
News Corp,AU,14733333333,8546666667,22300,NWS.AX
REA Group,AU,13740000000,1266666667,3418,REA.AX
Telstra,AU,36420000000,15420000000,29520,TLS.AX
Cochlear,AU,4886666667,1560000000,5500,COH.AX
CSL,AU,36953333333,15400000000,29904,CSL.AX
Fisher & Paykel Healthcare,AU,12926666667,1383000000,7396,FPH.AX
Pro Medicus,AU,11293333333,141986667,132,PME.AX
ResMed,AU,26513333333,8070000000,10600,RMD.AX
Sigma Healthcare,AU,22006666667,4000000000,,SIG.AX
Goodman Group,AU,40066666667,2066666667,1030,GMG.AX
Scentre Group,AU,13720000000,1793333333,2799,SCG.AX
Stockland,AU,6566666667,2346666667,1600,SGP.AX
Computershare,AU,15380000000,3186666667,12891,CPU.AX
Xero,AU,7333333333,1647000000,5114,XRO.AX
Santos,AU,16960000000,4933333333,4028,STO.AX
Woodside Energy,AU,40300000000,12980000000,4693,WDS.AX
Origin Energy,AU,11960000000,11513333333,5000,ORG.AX
Aspirasi Hidup Indonesia,ID,387974684,546835443,13976,ACES.JK
Adaro Minerals Indonesia,ID,4062658228,972950000,622,ADMR.JK
Alamtri Resources Indonesia,ID,4703164557,2105696203,10488,ADRO.JK
AKR Corporindo,ID,1860759494,2912658228,2138,AKRA.JK
Amman Mineral Internasional,ID,19340506329,1850000000,2149,AMMN.JK
Sumber Alfaria Trijaya,ID,3679746835,8021518987,99053,AMRT.JK
Aneka Tambang,ID,4685443038,5356962025,3829,ANTM.JK
Bank Jago,ID,1167088608,129746835,621,ARTO.JK
Astra International,ID,13058860759,20467721519,133092,ASII.JK
Bank Central Asia,ID,50550632911,6834810127,27682,BBCA.JK
Bank Negara Indonesia,ID,8488607595,3152531646,27651,BBNI.JK
Bank Rakyat Indonesia,ID,28781012658,9206962025,82203,BBRI.JK
Bank Tabungan Negara,ID,1118987342,1020886076,12903,BBTN.JK
Bank Mandiri,ID,25848101266,9165822785,38777,BMRI.JK
Bank Syariah Indonesia,ID,5547468354,1500632911,16323,BRIS.JK
Barito Pacific,ID,10853797468,7630000000,5268,BRPT.JK
Charoen Pokphand Indonesia,ID,3435443038,4474683544,9624,CPIN.JK
Ciputra Development,ID,686075949,798734177,4005,CTRA.JK
ESSA Industries Indonesia,ID,703164557,343670886,484,ESSA.JK
XL Axiata,ID,2925949367,2889873418,2891,EXCL.JK
GoTo Gojek Tokopedia,ID,3355696203,1159493671,3505,GOTO.JK
Indofood CBP Sukses Makmur,ID,5222151899,4834177215,37111,ICBP.JK
Vale Indonesia,ID,3335443038,1112025316,2934,INCO.JK
Indofood Sukses Makmur,ID,3848101266,7963924051,98075,INDF.JK
Indah Kiat Pulp & Paper,ID,2726582278,3438607595,12500,INKP.JK
Indosat,ID,3929113924,3577215190,4182,ISAT.JK
Indo Tambangraya Megah,ID,1721518987,1880000000,1631,ITMG.JK
Japfa Comfeed Indonesia,ID,1531012658,3843037975,31683,JPFA.JK
Jasa Marga,ID,1249367089,1891772152,7490,JSMR.JK
Kalbe Farma,ID,2076582278,2235443038,12895,KLBF.JK
MAP Aktif Adiperkasa,ID,1091139241,1220253165,15940,MAPA.JK
Mitra Adiperkasa,ID,1591772152,2726582278,34018,MAPI.JK
Merdeka Battery Materials,ID,3656962025,1430000000,3916,MBMA.JK
Merdeka Copper Gold,ID,4296202532,1890000000,10799,MDKA.JK
Medco Energi Internasional,ID,2062025316,2340000000,3410,MEDC.JK
Perusahaan Gas Negara,ID,2377848101,3980000000,3319,PGAS.JK
Pertamina Geothermal Energy,ID,2731645570,480379747,583,PGEO.JK
Bukit Asam,ID,1770886076,2699367089,1672,PTBA.JK
Sido Muncul,ID,696835443,258227848,3558,SIDO.JK
Semen Indonesia,ID,645569620,2230379747,8764,SMGR.JK
Summarecon Agung,ID,353164557,555063291,2712,SMRA.JK
Telkom Indonesia,ID,16582278481,9287341772,18539,TLKM.JK
