company,cc,market_cap_usd,revenue_usd,employees,ticker
ALLOS,BR,2538888889,546296296,927,ALOS3
B3,BR,14753703704,1953703704,2889,B3SA3
Banco do Brasil,BR,22294444444,12812962963,84619,BBAS3
BB Seguridade,BR,15307407407,1940740741,222,BBSE3
Bradesco,BR,34733333333,16975925926,69653,BBDC4
Bradespar,BR,1159259259,2937037,,BRAP4
BTG Pactual,BR,50816666667,8266666667,8543,BPAC11
Caixa Seguridade,BR,12455555556,1083333333,141,CXSE3
Iguatemi,BR,1381481481,283333333,636,IGTI11
IRB(Re),BR,853703704,959259259,328,IRBR3
Itaúsa,BR,28685185185,1550000000,126000,ITSA4
Itaú Unibanco,BR,90262962963,25590740741,93554,ITUB4
Santander Brasil,BR,18683333333,8466666667,49107,SANB11
Multiplan,BR,2631481481,562962963,80513,MULT3
Porto,BR,6575925926,8207407407,13491,PSSA3
Brava Energia,BR,1751851852,2200000000,531,BRAV3
Cosan,BR,2844444444,7366666667,29142,CSAN3
Petrobras,BR,108961111111,92238888889,43199,PETR4
PRIO,BR,8937037037,3272222222,82,PRIO3
PetroRecôncavo,BR,585185185,551851852,1748,RECV3
Raízen,BR,3616666667,44972222222,40000,RAIZ4
Ultra,BR,6498148148,26998148148,11481,UGPA3
Vibra Energia,BR,7725925926,35596296296,3785,VBBR3
Vale,BR,59187037037,39788888889,65805,VALE3
Auren,BR,2233333333,2462962963,,AURE3
Axia Energia,BR,27087037037,8070370370,7168,AXIA3
Cemig,BR,6892592593,8031481481,5320,CMIG4
Copel,BR,4870370370,4111111111,4396,CPLE6
Copasa,BR,4494444444,1555555556,9836,CSMG3
CPFL Energia,BR,9966666667,8342592593,16040,CPFE3
Energisa,BR,3559259259,6672222222,18000,ENGI11
Engie Brasil,BR,7948148148,2455555556,1312,EGIE3
Eneva,BR,9212962963,3457407407,2054,ENEV3
Equatorial,BR,9161111111,9896296296,11571,EQTL3
ISA Energia,BR,3646296296,1761111111,1626,ISAE4
Sabesp,BR,19020370370,7338888889,8927,SBSP3
Taesa,BR,2653703704,866666667,854,TAEE11
Embraer,BR,11044444444,7974074074,21122,EMBJ3
Localiza,BR,7531481481,8135185185,23558,RENT3
Marcopolo,BR,1179629630,1674074074,15109,POMO4
Motiva,BR,5477777778,3577777778,16000,MOTV3
Rumo Logística,BR,4687037037,2622222222,8255,RAIL3
Vamos,BR,637037037,1118518519,2291,VAMO3
WEG,BR,36316666667,7431481481,49258,WEGE3
Ambev,BR,46346296296,16335185185,39000,ABEV3
Assaí,BR,2087037037,14331481481,90000,ASAI3
Grupo Pão de Açúcar,BR,250000000,3466666667,110000,PCAR3
MBRF,BR,4159259259,30359259259,130000,MBRF3
Minerva Foods,BR,659259259,10562962963,30000,BEEF3
Natura,BR,2209259259,4024074074,35000,NATU3
SLC Agrícola,BR,1285185185,1572222222,6729,SLCE3
Azzas 2154,BR,666666667,2148148148,9480,AZZA3
C&A,BR,538888889,1479629630,14000,CEAB3
Cogna Educação,BR,801851852,1396296296,25000,COGN3
Cury,BR,1722222222,1074074074,4485,CURY3
Cyrela,BR,1701851852,1762962963,984,CYRE3
Lojas Renner,BR,2448148148,2951851852,26058,LREN3
Magazine Luiza,BR,703703704,7133333333,35000,MGLU3
MRV,BR,477777778,2111111111,30000,MRVE3
Smart Fit,BR,2351851852,1420370370,18000,SMFT3
Vivara,BR,938888889,572222222,5602,VIVA3
Yduqs,BR,375925926,1025925926,17085,YDUQ3
Braskem,BR,816666667,12361111111,8233,BRKM5
CSN,BR,1320370370,8238888889,29000,CSNA3
