company,cc,market_cap_usd,revenue_usd,employees,ticker
Saudi Aramco,SA,1729000000000,480446000000,75000,2222.SR
Al Rajhi Bank,SA,102800000000,10400000000,24712,1120.SR
Naspers,ZA,32123000000,10008000000,45780,NPN.JO
Teva Pharmaceutical Industries,IL,29008000000,,32842,TEVA
First Abu Dhabi Bank,AE,53823000000,9270000000,5451,FAB.AD
International Holding Company,AE,225839000000,32490000000,,IHC.AD
TAQA,AE,81184000000,14828000000,7000,TAQA.AD
ADNOC Gas,AE,70024000000,,,ADNOCGAS.AD
e& (Emirates Telecom),AE,47488000000,20547000000,,EAND.AD
Dubai Electricity and Water Authority,AE,36239000000,9082000000,11206,DEWA.DU
Abu Dhabi Commercial Bank,AE,30504000000,5452000000,5000,ADCB.AD
Emaar Properties,AE,26782000000,14131000000,,EMAAR.DU
ADNOC Drilling,AE,24706000000,4965000000,,ADNOCDRILL.AD
Abu Dhabi Islamic Bank,AE,20387000000,3245000000,,ADIB.AD
Alpha Dhabi Holding,AE,20027000000,21836000000,57000,ALPHADHABI.AD
Multiply Group,AE,6378000000,4477000000,,2POINTZERO.AD
Borouge,AE,19479000000,5607000000,2979,BOROUGE.AD
Aldar Properties,AE,16389000000,9471000000,2891,ALDAR.AD
Emirates Integrated Telecommunications (du),AE,15267000000,4455000000,,DU.DU
Dubai Islamic Bank,AE,14456000000,3529000000,10000,DIB.DU
Emaar Development,AE,14190000000,7989000000,,EMAARDEV.DU
Mashreqbank,AE,13665000000,3384000000,,MASQ.DU
Modon Holding,AE,12738000000,3768000000,,MODON.AD
ADNOC Logistics & Services,AE,46570000000,18060000000,7022,ADNOCLS.AD
Salik Company,AE,11180000000,836000000,,SALIK.DU
Commercial Bank of Dubai,AE,7727000000,1485000000,1200,CBD.DU
Abu Dhabi Ports,AE,6918000000,5972000000,2944,ADPORTS.AD
Pure Health Holding,AE,6752000000,7627000000,,PUREHEALTH.AD
Presight AI,AE,5654000000,861000000,789,PRESIGHT.AD
National Marine Dredging,AE,5109000000,7965000000,3907,NMDC.AD
RAKBANK,AE,4986000000,1387000000,3508,RAKBANK.AD
Fertiglobe,AE,5956000000,3051000000,2700,FERTIGLB.AD
Americana Restaurants,AE,4667000000,2588000000,37207,AMR.AD
Parkin,AE,4594000000,387000000,,PARKIN.DU
TECOM Group,AE,4632000000,798000000,1000,TECOM.DU
Dubai Investments,AE,4239000000,1019000000,,DIC.DU
National Bank of Fujairah,AE,3515000000,594000000,878,NBF.AD
Sharjah Islamic Bank,AE,2556000000,670000000,,SIB.AD
Dubai Financial Market,AE,3049000000,241000000,164,DFM.DU
Ooredoo,AE,11400000000,,,ORDS.AD
MBME Group,AE,,,,MBME.AD
Apex Investment,AE,3097000000,240000000,150,APEX.AD
First International Bank of Israel,IL,6278378378,1856756757,3461,FIBI
Israel Discount Bank,IL,10532432432,3408108108,6849,DSCT
Bank Leumi,IL,28329729730,6000000000,7514,LUMI
Mizrahi-Tefahot Bank,IL,15913513514,3883783784,7230,MZTF
Bank Hapoalim,IL,25602702703,6297297297,8409,POLI
Phoenix Holdings,IL,12151351351,5259459459,5172,PHOE
Harel Insurance,IL,9989189189,5654054054,5000,HARL
Clal Insurance Holdings,IL,5302702703,4700000000,3610,CLIS
Migdal Insurance,IL,5089189189,3402702703,4435,MGDL
Menora Mivtachim,IL,8310810811,2829729730,3805,MMHD
AMOT Investments,IL,2508108108,327027027,198,AMOT
BIG Shopping Centers,IL,4732432432,840540541,105,BIG
Dimri Construction,IL,2256756757,467567568,330,DIMRI
Mivne Real Estate,IL,2586486486,356756757,201,MVNE
Melisron,IL,5310810811,645945946,332,MLSR
Azrieli Group,IL,13770270270,1102702703,449,AZRG
Delek Group,IL,4040540541,1059459459,798,DLEKG
NewMed Energy,IL,5354054054,,24,NWMD
OPC Energy,IL,8372972973,927027027,149,OPCE
Enlight Renewable Energy,IL,10632432432,456756757,406,ENLT
Tower Semiconductor,IL,29420000000,1620000000,5613,TSEM
Nova,IL,14370000000,902530000,1612,NVMI
NICE,IL,5240000000,3010000000,9626,NICE
Camtek,IL,7180000000,499090000,709,CAMT
ICL Group,IL,6850000000,7410000000,13007,ICL
Elbit Systems,IL,37700000000,8230000000,20537,ESLT
NextVision Stabilized Systems,IL,6029729730,,126,NXSN
Ormat Technologies,IL,6320000000,,,ORA
Bezeq,IL,5559459459,2335135135,5286,BEZQ
Fattal Holdings,IL,3027027027,2048648649,5946,FTAL
Shufersal,IL,3359459459,3959459459,14500,SAE
Strauss Group,IL,3654054054,2140540541,16074,STRS
Shapir Engineering,IL,4505405405,1691891892,3918,SPEN
AFMA,MA,110000000,,,
Afric Industries,MA,9000000,,,
