company,cc,market_cap_usd,revenue_usd,employees,ticker
Accor,FR,11242800000,6091200000,19943,AC.PA
Air Liquide,FR,121165200000,29095200000,63126,AI.PA
Airbus,FR,177098400000,78332400000,166876,AIR.PA
ArcelorMittal,FR,47876400000,53780000000,125554,MT.AS
Axa,FR,99694800000,102265200000,107756,CS.PA
BNP Paribas,FR,126738000000,54572400000,180000,BNP.PA
Bouygues,FR,20174400000,60998400000,200000,EN.PA
Bureau Veritas,FR,13046400000,7214400000,82049,BVI.PA
Capgemini,FR,16232400000,24267600000,423405,CAP.PA
Carrefour,FR,12700800000,90536400000,298604,CA.PA
Crédit Agricole,FR,59583600000,28598400000,79848,ACA.PA
Danone,FR,48459600000,29462400000,88670,BN.PA
Dassault Systèmes,FR,25282800000,6663600000,25724,DSY.PA
Edenred,FR,6847200000,2948400000,12102,EDEN.PA
Engie,FR,72381600000,77695200000,84831,ENGI.PA
EssilorLuxottica,FR,81604800000,30769200000,155975,EL.PA
Eurofins Scientific,FR,13316400000,7884000000,65694,ERF.PA
Hermès,FR,190155600000,17280000000,26494,RMS.PA
Kering,FR,33210000000,15854400000,43731,KER.PA
L'Oréal,FR,219434400000,47574000000,79033,OR.PA
Legrand,FR,38685600000,10519200000,35967,LR.PA
LVMH,FR,254113200000,87274800000,196647,MC.PA
Michelin,FR,25801200000,28069200000,117495,ML.PA
Orange,FR,47174400000,43632000000,121242,ORA.PA
Pernod Ricard,FR,17161200000,10843200000,17238,RI.PA
Publicis,FR,23360400000,19062000000,114079,PUB.PA
Renault,FR,7743600000,62553600000,100541,RNO.PA
Safran,FR,146512800000,33685200000,103710,SAF.PA
Saint-Gobain,FR,39268800000,50198400000,161688,SGO.PA
Sanofi,FR,99759600000,51138000000,74846,SAN.PA
Schneider Electric,FR,163242000000,43362000000,159844,SU.PA
Société Générale,FR,61549200000,27853200000,110000,GLE.PA
Stellantis,FR,15714000000,168296400000,258668,STLAP.PA
STMicroelectronics,FR,56138400000,11490000000,48000,STMPA.PA
Teleperformance,FR,3402000000,11026800000,446716,TEP.PA
Thales,FR,50328000000,24645600000,84958,HO.PA
TotalEnergies,FR,178329600000,159550000000,94847,TTE.PA
Unibail-Rodamco-Westfield,FR,16297200000,3834000000,1992,URW.PA
Veolia,FR,29462400000,47952000000,203100,VIE.PA
Vinci,FR,68040000000,81756000000,292101,DG.PA
ADP,FR,11318400000,7236000000,26055,ADP.PA
Air France-KLM,FR,3294000000,35985600000,79755,AF.PA
Airbus Group,FR,177098400000,78332400000,166876,AIR.PA
Alstom,FR,8056800000,20703600000,87832,ALO.PA
Alten,FR,2116800000,4428000000,57038,ATE.PA
Amundi,FR,19288800000,7430400000,5400,AMUN.PA
Aperam,FR,3704400000,6480000000,13000,APAM.AS
Arcelor Mittal,FR,47876400000,53780000000,125554,MT.AS
Argan,FR,1792800000,278931600,28,ARG.PA
Arkema,FR,4492800000,9579600000,20700,AKE.PA
Atos,FR,601290000,8640000000,57624,ATO.PA
Ayvens,FR,10152000000,27043200000,13000,AYV.PA
Bénéteau,FR,527850000,916509600,6218,BEN.PA
Bic,FR,2624400000,2257200000,9224,BB.PA
Biomérieux,FR,8899200000,4395600000,15226,BIM.PA
Bolloré,FR,11912400000,3164400000,2940,BOL.PA
Carmila,FR,2484000000,611733600,259,CARM.PA
Clariane,FR,1544400000,5734800000,70685,CLARI.PA
Coface,FR,2613600000,1965600000,5511,COFA.PA
Covivio,FR,6318000000,1263600000,968,COV.PA
Dassault Aviation,FR,25347600000,9601200000,14573,AM.PA
Derichebourg,FR,1620000000,3747600000,5394,DBG.PA
Eiffage,FR,12603600000,28209600000,87000,FGR.PA
Elior,FR,565110000,6609600000,132883,ELIOR.PA
Elis,FR,5940000000,5184000000,58445,ELIS.PA
Emeis,FR,2430000000,6372000000,84586,EMEIS.PA
Eramet,FR,1317600000,3013200000,8684,ERA.PA
Esso,FR,987076800,12279600000,1056,ES.PA
Eurazeo,FR,3034800000,46126800,578,RF.PA
Euronext,FR,16178400000,2041200000,3105,ENX.PA
FDJ,FR,4546800000,3974400000,5755,FDJU.PA
Forvia,FR,1825200000,23058000000,106513,FRVIA.PA
Gecina,FR,6026400000,930312000,442,GFC.PA
Getlink,FR,10918800000,1868400000,3825,GET.PA
GTT,FR,7819200000,867348000,732,GTT.PA
Icade,FR,1555200000,1414800000,1007,ICAD.PA
ID Logistics Group,FR,2484000000,4039200000,34760,IDL.PA
Imerys,FR,2030400000,3618000000,12300,NK.PA
Interparfums,FR,2473200000,971330400,359,ITP.PA
Ipsen,FR,14374800000,4244400000,5535,IPN.PA
Ipsos,FR,1684800000,2743200000,20921,IPS.PA
JCDecaux,FR,5086800000,3963600000,11320,DEC.PA
Klepierre,FR,11782800000,1879200000,1034,LI.PA
L’Oréal,FR,219434400000,47574000000,79033,OR.PA
Maurel & Prom,FR,1825200000,491880000,810,MAU.PA
MedinCell,FR,984916800,26222400,140,MEDCL.PA
Mercialys,FR,1177200000,195037200,181,MERY.PA
Mersen,FR,947116800,1285200000,7259,MRN.PA
M6 Metropole Television,FR,1620000000,1360800000,2001,MMT.PA
Neoen,FR,,606960000,300,
Nexans,FR,6339600000,8434800000,25700,NEX.PA
Nexity,FR,445078800,3045600000,3006,NXI.PA
OPmobility,FR,2019600000,10897200000,28258,OPM.PA
Planisware,FR,1512000000,213861600,708,PLNW.PA
Pluxee,FR,2041200000,1414800000,5626,PLX.PA
Publicis Groupe,FR,23360400000,19062000000,114079,PUB.PA
Remy Cointreau,FR,2548800000,1010124000,1754,RCO.PA
Rexel,FR,12139200000,20962800000,26706,RXL.PA
Robertet,FR,1911600000,911466000,2570,RBT.PA
Rubis,FR,3650400000,7052400000,4257,RUI.PA
SEB,FR,2894400000,8823600000,31856,SK.PA
Sartorius Stedim Biotech,FR,18424800000,3218400000,10456,DIM.PA
Scor SE,FR,6382800000,16718400000,3610,SCR.PA
SES,FR,3337200000,3207600000,3830,SESG.PA
Sodexo,FR,8650800000,25509600000,426464,SW.PA
Soitec,FR,3704400000,639705600,1961,SOI.PA
Sopra Steria,FR,2980800000,6102000000,51275,SOP.PA
Solvay,FR,2948400000,5022000000,8400,SOLB.BR
Spie,FR,8931600000,11329200000,54673,SPIE.PA
ST Microelectronics,FR,56138400000,11490000000,48000,STMPA.PA
Technip Energies,FR,6469200000,7743600000,18000,TE.PA
TF1,FR,1544400000,2430000000,3036,TFI.PA
Trigano,FR,3142800000,4060800000,10139,TRI.PA
Ubisoft,FR,800388000,1512000000,16590,UBI.PA
Valeo,FR,3466800000,22269600000,88003,FR.PA
Vallourec,FR,5346000000,4050000000,13000,VK.PA
Valneva SE,FR,438717600,168836400,674,VLA.PA
Veolia Environnement,FR,29462400000,47952000000,203100,VIE.PA
Verallia,FR,2462400000,3596400000,11000,VRLA.PA
Vicat,FR,2970000000,4158000000,10194,VCT.PA
Virbac,FR,3164400000,1576800000,6442,VIRP.PA
Viridien,FR,652579200,878920000,3100,VIRI.PA
Vivendi,FR,2030400000,331560000,2500,VIV.PA
Vusion,FR,2278800000,1587600000,1089,VU.PA
Wendel,FR,3704400000,8402400000,88439,MF.PA
Worldline,FR,614001600,4352400000,17948,WLN.PA
3i,UK,32512000000,7086600000,223,III.L
Aberdeen Group,UK,5638800000,1701800000,4435,ABDN.L
Admiral Group,UK,13741400000,6375400000,14805,ADM.L
Airtel Africa,UK,16129000000,6591300000,4512,AAF.L
Alliance Witan,UK,6350000000,,,ALW.L
Anglo American,UK,48018700000,17500600000,26400,AAL.L
Antofagasta,UK,47523400000,8128000000,8457,ANTO.L
Associated British Foods,UK,17881600000,24663400000,138000,ABF.L
AstraZeneca,UK,250202700000,58127900000,96100,AZN.L
Auto Trader Group,UK,4914900000,792861000,1239,AUTO.L
Aviva,UK,26136600000,36423600000,39359,AV.L
Babcock International,UK,6921500000,6578600000,30481,BAB.L
BAE Systems,UK,69202300000,35991800000,111400,BA.L
Barclays,UK,90297000000,34404300000,93000,BARC.L
Barratt Redrow,UK,5194300000,7531100000,7928,BTRW.L
Beazley,UK,9664700000,5613400000,2555,BEZ.L
BP,UK,105829100000,146160000000,93700,BP.L
British American Tobacco,UK,126453900000,32524700000,47797,BATS.L
British Land,UK,5702300000,782320000,611,BLND.L
Bunzl,UK,11163300000,15049500000,26777,BNZL.L
Burberry Group,UK,4775200000,3073400000,7299,BRBY.L
Centrica,UK,10337800000,24828500000,20573,CNA.L
Coca-Cola Europacific Partners,UK,44538900000,23152100000,37003,CCEP.L
Coca-Cola HBC,UK,22999700000,12852400000,33582,CCH.L
Compass Group,UK,49847500000,36720000000,590000,CPG.L
Computacenter,UK,6464300000,11671300000,20217,CCC.L
Convatec,UK,5321300000,2298700000,10910,CTEC.L
Croda International,UK,5257800000,2159000000,5954,CRDA.L
DCC,UK,6832600000,19608800000,11700,DCC.L
Diageo,UK,44475400000,18681700000,29632,DGE.L
Diploma,UK,12915900000,2095500000,3400,DPLM.L
BT Group,UK,24498300000,24955500000,77200,BT-A.L
Endeavour Mining,UK,11163300000,3440000000,5381,EDV.L
Entain,UK,4457700000,6680200000,28413,ENT.L
Experian,UK,30594300000,8128000000,25200,EXPN.L
F&C Investment Trust,UK,6731000000,,,FCIT.L
Fresnillo,UK,23368000000,4305300000,7177,FRES.L
Games Workshop,UK,8432800000,825627000,3600,GAW.L
Glencore,UK,80073500000,233578400000,80423,GLEN.L
GSK,UK,96634300000,41630600000,66841,GSK.L
Haleon,UK,40932100000,14008100000,24535,HLN.L
Halma,UK,17564100000,3276600000,9000,HLMA.L
Hiscox,UK,7404100000,3797300000,3000,HSX.L
