company,cc,market_cap_usd,revenue_usd,employees,ticker
3M,US,87670000000,25180000000,60500,MMM
A. O. Smith,US,8180000000,3810000000,11500,AOS
Abbott Laboratories,US,174740000000,46590000000,115000,ABT
AbbVie,US,452740000000,62820000000,57000,ABBV
Accenture,US,84550000000,73100000000,779000,ACN
Adobe Inc.,US,84730000000,25200000000,31360,ADBE
Advanced Micro Devices,US,877150000000,37450000000,31000,AMD
AES Corporation,US,10590000000,12490000000,8336,AES
Aflac,US,62940000000,18110000000,12716,AFL
Agilent Technologies,US,39030000000,7230000000,18100,A
Align Technology,US,12020000000,4100000000,20290,ALGN
Allegion,US,13550000000,4290000000,13300,ALLE
Alliant Energy,US,19210000000,4420000000,4943,LNT
Allstate,US,65410000000,68170000000,53300,ALL
Alphabet Inc. (Class A),US,3900000000000,445870000000,190820,GOOGL
Altria,US,120070000000,20380000000,5900,MO
Amazon,US,2520000000000,742780000000,1576000,AMZN
Amcor,US,19800000000,22190000000,77000,AMCR
Air Products,US,65770000000,12460000000,21300,APD
Airbnb,US,81270000000,12650000000,8200,ABNB
Akamai Technologies,US,17730000000,4270000000,11000,AKAM
Albemarle Corporation,US,13880000000,5490000000,7800,ALB
Alexandria Real Estate Equities,US,8720000000,2930000000,514,ARE
Ameren,US,31230000000,8550000000,8913,AEE
American Electric Power,US,73120000000,22430000000,17581,AEP
American Express,US,232990000000,68810000000,76800,AXP
American International Group,US,41570000000,26700000000,22100,AIG
American Tower,US,77610000000,10820000000,4866,AMT
American Water Works,US,26180000000,5210000000,7000,AWK
Ameriprise Financial,US,47100000000,19840000000,13600,AMP
Ametek,US,55130000000,7600000000,22500,AME
Amgen,US,198260000000,37220000000,31500,AMGN
Amphenol,US,193800000000,25900000000,170000,APH
Analog Devices,US,184640000000,12740000000,24500,ADI
Aon plc,US,75320000000,17490000000,60000,AON
APA Corporation,US,13040000000,8370000000,1791,APA
Apollo Global Management,US,68770000000,31290000000,2540,APO
Apple Inc.,US,4710000000000,451440000000,166000,AAPL
Applied Materials,US,449440000000,29020000000,36500,AMAT
AppLovin,US,134050000000,6160000000,898,APP
Aptiv,US,12120000000,20660000000,140000,APTV
Arch Capital Group,US,34710000000,19780000000,8000,ACGL
Archer Daniels Midland,US,41880000000,80580000000,41496,ADM
Ares Management,US,39880000000,5910000000,4250,ARES
Arista Networks,US,222880000000,9710000000,5115,ANET
Arthur J. Gallagher & Co.,US,62410000000,14200000000,72000,AJG
Assurant,US,13510000000,13160000000,14800,AIZ
AT&T,US,157600000000,127240000000,133030,T
Atmos Energy,US,29830000000,4880000000,5487,ATO
Autodesk,US,42960000000,7510000000,14300,ADSK
Automatic Data Processing,US,96180000000,21600000000,67000,ADP
AutoZone,US,47670000000,19990000000,130000,AZO
AvalonBay Communities,US,27230000000,3080000000,3041,AVB
Avery Dennison,US,11990000000,9010000000,35000,AVY
Axon Enterprise,US,39680000000,2980000000,5100,AXON
Baker Hughes,US,55950000000,27890000000,56000,BKR
Ball Corporation,US,16530000000,13670000000,16000,BALL
Bank of America,US,428100000000,113930000000,213000,BAC
Baxter International,US,11110000000,11320000000,37500,BAX
Becton Dickinson,US,42080000000,22230000000,72000,BDX
Best Buy,US,17760000000,41860000000,82000,BBY
Bio-Techne,US,11210000000,1210000000,3100,TECH
Biogen,US,29730000000,9940000000,7500,BIIB
Blackstone Inc.,US,150540000000,15840000000,5285,BX
"Block, Inc.",US,46050000000,24480000000,10205,XYZ
BNY Mellon,US,143850000,10390000,2600,DMF
Boeing,US,164540000000,92180000000,182000,BA
Booking Holdings,US,133630000000,27690000000,24300,BKNG
Boston Scientific,US,64170000000,20610000000,59000,BSX
Bristol Myers Squibb,US,125870000000,48480000000,32500,BMY
Broadcom,US,1860000000000,75470000000,33000,AVGO
Broadridge Financial Solutions,US,16600000000,7320000000,15000,BR
Brown & Brown,US,22210000000,6260000000,22888,BRO
Brown–Forman,US,11820000000,3930000000,4900,BF.B
Builders FirstSource,US,7520000000,14820000000,28000,BLDR
Bunge Global,US,23860000000,80550000000,22000,BG
"BXP, Inc.",US,12130000000,3160000000,826,BXP
C.H. Robinson,US,24350000000,16200000000,11855,CHRW
Cadence Design Systems,US,92010000000,5530000000,13800,CDNS
Camden Property Trust,US,11720000000,1580000000,1640,CPT
Cardinal Health,US,52220000000,250740000000,57700,CAH
Carnival Corporation,US,34870000000,27310000000,101000,CCL
Carrier Global,US,57130000000,21870000000,47000,CARR
Carvana,US,66980000000,22520000000,23100,CVNA
Casey's,US,32110000000,17560000000,49848,CASY
Caterpillar Inc.,US,416030000000,70760000000,118000,CAT
Cboe Global Markets,US,30040000000,4790000000,1661,CBOE
CBRE Group,US,39920000000,42200000000,155000,CBRE
CDW Corporation,US,16660000000,22900000000,14800,CDW
Cencora,US,58820000000,328680000000,51000,COR
Centene Corporation,US,31540000000,178330000000,61100,CNC
CenterPoint Energy,US,28810000000,9410000000,14931,CNP
CF Industries,US,19360000000,7410000000,2900,CF
Charles River Laboratories,US,10890000000,4030000000,19700,CRL
Charles Schwab Corporation,US,176900000000,26030000000,33000,SCHW
Charter Communications,US,17330000000,54640000000,91900,CHTR
Chevron Corporation,US,387690000000,185740000000,43039,CVX
Chipotle Mexican Grill,US,40820000000,12140000000,130301,CMG
Chubb Limited,US,135320000000,62030000000,45000,CB
Church & Dwight,US,22680000000,6210000000,5550,CHD
Ciena,US,57850000000,5570000000,9080,CIEN
Cigna,US,75890000000,277890000000,67700,CI
Cincinnati Financial,US,27710000000,12930000000,5705,CINF
Cintas,US,81250000000,11260000000,48300,CTAS
Cisco,US,445660000000,60750000000,86200,CSCO
Citigroup,US,220900000000,81710000000,226000,C
Citizens Financial Group,US,30000000000,8160000000,17398,CFG
Clorox,US,11380000000,6760000000,7600,CLX
CME Group,US,91560000000,6760000000,3875,CME
CMS Energy,US,22880000000,8820000000,8350,CMS
Coca-Cola Company (The),US,348500000000,49280000000,65900,KO
Cognizant,US,20150000000,21410000000,351600,CTSH
Coherent Corp.,US,61820000000,6600000000,30216,COHR
Coinbase,US,42680000000,6290000000,4951,COIN
Colgate-Palmolive,US,71800000000,20800000000,33600,CL
Comcast,US,80550000000,124900000000,179000,CMCSA
Comfort Systems USA,US,64950000000,10140000000,22700,FIX
ConocoPhillips,US,147670000000,59380000000,9900,COP
Consolidated Edison,US,41460000000,17220000000,15407,ED
Constellation Brands,US,22140000000,9060000000,9400,STZ
Constellation Energy,US,97490000000,29870000000,15339,CEG
Cooper Companies (The),US,13680000000,4230000000,15000,COO
Copart,US,25010000000,4640000000,11600,CPRT
Corning Inc.,US,135550000000,16320000000,67200,GLW
Corpay,US,23490000000,4780000000,11800,CPAY
Corteva,US,59040000000,17890000000,21500,CTVA
CoStar Group,US,10970000000,3410000000,8441,CSGP
Costco,US,408080000000,293590000000,341000,COST
CRH plc,US,65770000000,38060000000,83032,CRH
CrowdStrike,US,186950000000,5090000000,10698,CRWD
Crown Castle,US,32120000000,4160000000,4000,CCI
CSX Corporation,US,97240000000,14510000000,23000,CSX
Cummins,US,91980000000,33890000000,67400,CMI
CVS Health,US,135890000000,405620000000,300000,CVS
Danaher Corporation,US,133190000000,25110000000,60000,DHR
Darden Restaurants,US,22170000000,13210000000,197124,DRI
Datadog,US,86740000000,3670000000,8100,DDOG
DaVita,US,14920000000,13840000000,78000,DVA
Deckers Brands,US,13870000000,5470000000,6000,DECK
Deere & Company,US,165910000000,47340000000,73100,DE
Dell Technologies,US,286540000000,134000000000,97000,DELL
Delta Air Lines,US,53260000000,68290000000,103000,DAL
Devon Energy,US,52390000000,16000000000,2200,DVN
Dexcom,US,27220000000,4820000000,11100,DXCM
Diamondback Energy,US,57840000000,14460000000,1762,FANG
Digital Realty,US,67850000000,6310000000,4282,DLR
Dollar General,US,25370000000,43080000000,194000,DG
Dollar Tree,US,22670000000,19750000000,153032,DLTR
Dominion Energy,US,62590000000,17450000000,15200,D
Domino's,US,10550000000,5030000000,10200,DPZ
DoorDash,US,74540000000,14720000000,31400,DASH
Dover Corporation,US,26620000000,8420000000,24000,DOV
Dow Inc.,US,22230000000,41320000000,34600,DOW
D. R. Horton,US,39330000000,33350000000,14341,DHI
DTE Energy,US,30840000000,16520000000,9650,DTE
Duke Energy,US,100510000000,32720000000,26441,DUK
DuPont,US,18550000000,6920000000,15000,DD
Eaton Corporation,US,160500000000,28520000000,97000,ETN
eBay Inc.,US,48650000000,11600000000,12300,EBAY
EchoStar,US,26320000000,14800000000,12100,ECHO
Ecolab,US,74330000000,16450000000,48000,ECL
Edison International,US,30840000000,19610000000,13725,EIX
Edwards Lifesciences,US,48130000000,6300000000,16000,EW
Electronic Arts,US,52380000000,7530000000,14600,EA
Elevance Health,US,81800000000,201110000000,97100,ELV
Emcor,US,33980000000,17750000000,44000,EME
Emerson Electric,US,80270000000,18320000000,71000,EMR
Entergy,US,52840000000,13290000000,12233,ETR
EOG Resources,US,77860000000,23570000000,3400,EOG
EQT Corporation,US,33500000000,9310000000,1523,EQT
Equifax,US,19190000000,6440000000,15000,EFX
Equinix,US,102180000000,9530000000,13716,EQIX
Equity Residential,US,26210000000,3130000000,2400,EQR
Erie Indemnity,US,11180000000,4090000000,6667,ERIE
Essex Property Trust,US,19490000000,1970000000,1689,ESS
Estée Lauder Companies (The),US,28810000000,14830000000,57000,EL
Everest Group,US,14850000000,17340000000,3064,EG
Evergy,US,19910000000,6030000000,4691,EVRG
Eversource Energy,US,27990000000,13930000000,10731,ES
Exelon,US,48180000000,24790000000,20571,EXC
Expand Energy,US,22140000000,12960000000,1600,EXE
Expedia Group,US,30640000000,15170000000,16000,EXPE
Expeditors International,US,23120000000,11190000000,19800,EXPD
Extra Space Storage,US,32020000000,3480000000,8393,EXR
ExxonMobil,US,652010000000,326010000000,58000,XOM
"F5, Inc.",US,22280000000,3220000000,6578,FFIV
FactSet,US,8640000000,2440000000,12800,FDS
Fair Isaac,US,27810000000,2260000000,3811,FICO
Fastenal,US,52410000000,8750000000,24489,FAST
Federal Realty Investment Trust,US,10830000000,1310000000,320,FRT
FedEx Freight,US,23050000000,8680000000,40000,FDXF
Fidelity National Information Services,US,20750000000,11440000000,44000,FIS
Fifth Third Bancorp,US,51340000000,10070000000,18676,FITB
First Solar,US,22080000000,5420000000,7900,FSLR
FirstEnergy,US,28560000000,15340000000,11186,FE
Fiserv,US,26590000000,21090000000,38000,FISV
Flex Ltd.,US,47010000000,27910000000,149686,FLEX
Ford Motor Company,US,56260000000,189860000000,169000,F
Fortinet,US,111470000000,7110000000,15109,FTNT
Fortive,US,18340000000,4240000000,10000,FTV
Fox Corporation (Class B),US,22420000000,16200000000,10200,FOX
Alphabet Inc. (Class C),US,4180000000000,445870000000,190820,GOOG
Berkshire Hathaway,US,1050000000000,375390000000,387800,BRK.B
BlackRock,US,169120000000,27300000000,21100,BLK
Capital One,US,121390000000,48110000000,76300,COF
FedEx,US,74720000000,94720000000,530000,FDX
Fox Corporation (Class A),US,23070000000,16200000000,10200,FOXA
Franklin Resources,US,16660000000,9030000000,9800,BEN
Freeport-McMoRan,US,91230000000,25870000000,29000,FCX
Garmin,US,46760000000,7460000000,23000,GRMN
Gartner,US,8750000000,6470000000,20244,IT
GE Aerospace,US,362110000000,50640000000,57000,GE
GE HealthCare,US,28030000000,20980000000,54000,GEHC
GE Vernova,US,274490000000,39380000000,78000,GEV
Gen Digital,US,15130000000,5000000000,3900,GEN
Generac,US,12350000000,4330000000,9400,GNRC
General Dynamics,US,102560000000,53810000000,117000,GD
General Mills,US,19110000000,18420000000,30000,GIS
General Motors,US,70200000000,185530000000,156000,GM
Genuine Parts Company,US,16480000000,25070000000,65000,GPC
Gilead Sciences,US,161090000000,29740000000,17000,GILD
Global Payments,US,21260000000,8860000000,26000,GPN
Globe Life,US,13230000000,6190000000,3695,GL
GoDaddy,US,11580000000,5020000000,5845,GDDY
Goldman Sachs,US,330070000000,67570000000,47400,GS
Halliburton,US,27550000000,22370000000,46000,HAL
