company,cc,market_cap_usd,revenue_usd,employees,ticker
Erste Group Bank,AT,48664800000,12960000000,55431,EBS.VI
Verbund,AT,22453200000,8672400000,4536,VER.VI
OMV,AT,22442400000,25509600000,16056,OMV.VI
BAWAG Group,AT,14472000000,2181600000,4042,BG.VI
Andritz,AT,7992000000,8564400000,30487,ANDR.VI
Wienerberger,AT,2408400000,4935600000,20220,WIE.VI
Voestalpine,AT,8272800000,16264800000,41486,VOE.VI
Raiffeisen Bank International,AT,19839600000,9698400000,42154,RBI.VI
Porr,AT,1652400000,6814800000,20127,POS.VI
CA Immo,AT,2192400000,303350400,241,CAI.VI
EVN,AT,5832000000,3358800000,7672,EVN.VI
AT&S,AT,7452000000,1933200000,12944,ATS.VI
Österreichische Post,AT,2376000000,3304800000,27868,POST.VI
Vienna Insurance Group,AT,9072000000,14893200000,32706,VIG.VI
Lenzing,AT,1051034400,2808000000,7589,LNZ.VI
Uniqa Insurance Group,AT,5767200000,8305200000,15035,UQA.VI
Schoeller-Bleckmann Oilfield Equipment,AT,554007600,491691600,1533,SBO.VI
Immofinanz,AT,2311200000,822895200,534,IIA.VI
Strabag,AT,10767600000,20217600000,88556,STR.VI
Do & Co,AT,2430000000,2656800000,16395,DOC.VI
Novartis International AG,CH,269211200000,56670000000,75267,NOVN.SW
Roche Holding AG,CH,299517800000,71144800000,103249,ROG.SW
Nestlé SA,CH,250464500000,101575700000,271000,NESN.SW
ABB Ltd,CH,165499800000,33220000000,112700,ABBN.SW
UBS Group AG,CH,133110000000,49600000000,101594,UBSG.SW
Compagnie Financière Richemont SA,CH,129904800000,25334600000,39601,CFR.SW
Zurich Insurance Group AG,CH,104378100000,73080000000,63000,ZURN.SW
Holcim Limited,CH,46510800000,17763600000,46055,HOLN.SW
Swiss Reinsurance Company Ltd,CH,43697100000,42600000000,15238,SREN.SW
Lonza Group AG,CH,42329800000,7763100000,20000,LONN.SW
Swisscom AG,CH,36589400000,17006500000,23073,SCMN.SW
Givaudan SA,CH,35278600000,8373300000,17580,GIVN.SW
Alcon Inc,CH,30250100000,8530000000,25000,ALC.SW
Sika AG,CH,28577700000,12656000000,30629,SIKA.SW
Amrize AG,CH,25221600000,9550000000,19000,AMRZ.SW
Swiss Life Holding AG,CH,29945000000,13232300000,12313,SLHN.SW
Kuehne + Nagel,CH,27911000000,27662400000,80141,KNIN.SW
Geberit AG,CH,19289100000,3570800000,9925,GEBN.SW
Partners Group Holding AG,CH,19582900000,2881500000,2027,PGHN.SW
Logitech International SA,CH,13842500000,4840000000,7300,LOGN.SW
Erste Group Bank,AT,48664800000,12960000000,55431,EBS.VI
Verbund,AT,22453200000,8672400000,4536,VER.VI
OMV,AT,22442400000,25509600000,16056,OMV.VI
BAWAG Group,AT,14472000000,2181600000,4042,BG.VI
Andritz,AT,7992000000,8564400000,30487,ANDR.VI
Wienerberger,AT,2408400000,4935600000,20220,WIE.VI
Voestalpine,AT,8272800000,16264800000,41486,VOE.VI
Raiffeisen Bank International,AT,19839600000,9698400000,42154,RBI.VI
Porr,AT,1652400000,6814800000,20127,POS.VI
CA Immo,AT,2192400000,303350400,241,CAI.VI
EVN,AT,5832000000,3358800000,7672,EVN.VI
AT&S,AT,7452000000,1933200000,12944,ATS.VI
Österreichische Post,AT,2376000000,3304800000,27868,POST.VI
Vienna Insurance Group,AT,9072000000,14893200000,32706,VIG.VI
Lenzing,AT,1051034400,2808000000,7589,LNZ.VI
Uniqa Insurance Group,AT,5767200000,8305200000,15035,UQA.VI
Schoeller-Bleckmann Oilfield Equipment,AT,554007600,491691600,1533,SBO.VI
Immofinanz,AT,2311200000,822895200,534,IIA.VI
Strabag,AT,10767600000,20217600000,88556,STR.VI
Do & Co,AT,2430000000,2656800000,16395,DOC.VI
Novartis International AG,CH,269211200000,56670000000,75267,NOVN.SW
Roche Holding AG,CH,299517800000,71144800000,103249,ROG.SW
Nestlé SA,CH,250464500000,101575700000,271000,NESN.SW
ABB Ltd,CH,165499800000,33220000000,112700,ABBN.SW
UBS Group AG,CH,133110000000,49600000000,101594,UBSG.SW
Compagnie Financière Richemont SA,CH,129904800000,25334600000,39601,CFR.SW
Zurich Insurance Group AG,CH,104378100000,73080000000,63000,ZURN.SW
Holcim Limited,CH,46510800000,17763600000,46055,HOLN.SW
Swiss Reinsurance Company Ltd,CH,43697100000,42600000000,15238,SREN.SW
Lonza Group AG,CH,42329800000,7763100000,20000,LONN.SW
Swisscom AG,CH,36589400000,17006500000,23073,SCMN.SW
Givaudan SA,CH,35278600000,8373300000,17580,GIVN.SW
Alcon Inc,CH,30250100000,8530000000,25000,ALC.SW
Sika AG,CH,28577700000,12656000000,30629,SIKA.SW
Amrize AG,CH,25221600000,9550000000,19000,AMRZ.SW
Swiss Life Holding AG,CH,29945000000,13232300000,12313,SLHN.SW
Kuehne + Nagel,CH,27911000000,27662400000,80141,KNIN.SW
Geberit AG,CH,19289100000,3570800000,9925,GEBN.SW
Partners Group Holding AG,CH,19582900000,2881500000,2027,PGHN.SW
Logitech International SA,CH,13842500000,4840000000,7300,LOGN.SW
Erste Group Bank,AT,48664800000,12960000000,55431,EBS.VI
Verbund,AT,22453200000,8672400000,4536,VER.VI
OMV,AT,22442400000,25509600000,16056,OMV.VI
BAWAG Group,AT,14472000000,2181600000,4042,BG.VI
Andritz,AT,7992000000,8564400000,30487,ANDR.VI
Wienerberger,AT,2408400000,4935600000,20220,WIE.VI
Voestalpine,AT,8272800000,16264800000,41486,VOE.VI
Raiffeisen Bank International,AT,19839600000,9698400000,42154,RBI.VI
Porr,AT,1652400000,6814800000,20127,POS.VI
CA Immo,AT,2192400000,303350400,241,CAI.VI
EVN,AT,5832000000,3358800000,7672,EVN.VI
AT&S,AT,7452000000,1933200000,12944,ATS.VI
Österreichische Post,AT,2376000000,3304800000,27868,POST.VI
Vienna Insurance Group,AT,9072000000,14893200000,32706,VIG.VI
Lenzing,AT,1051034400,2808000000,7589,LNZ.VI
Uniqa Insurance Group,AT,5767200000,8305200000,15035,UQA.VI
