company,cc,market_cap_usd,revenue_usd,employees,ticker
ANA Holdings Inc.,JP,8666666667,16933333333,47826,9202.T
"Japan Airlines Co., Ltd.",JP,8133333333,13400000000,39076,9201.T
"Honda Motor Co., Ltd.",JP,40466666667,145333333333,195109,7267.T
Isuzu Motors Ltd.,JP,10666666667,23200000000,43005,7202.T
Mazda Motor Corp.,JP,4874066667,32800000000,47144,7261.T
Mitsubishi Motors Corp.,JP,3320000000,19333333333,27695,7211.T
"Nissan Motor Co., Ltd.",JP,7733333333,80066666667,120079,7201.T
Subaru Corp.,JP,12266666667,31866666667,37542,7270.T
Suzuki Motor Corp.,JP,26266666667,41933333333,76889,7269.T
"Yamaha Motor Company, Ltd.",JP,8333333333,17600000000,55176,7272.T
Toyota Motor Corp.,JP,232000000000,337866666667,390927,7203.T
Samsung Electronics,KR,1268562962963,247118518519,128925,005930.KS
