company,cc,market_cap_usd,revenue_usd,employees,ticker
AB InBev,BE,141470000000,52870000000,137000,ABI.BR
Ackermans & van Haaren,BE,9525600000,6436800000,24931,ACKB.BR
Aedifica,BE,6350400000,422593200,127,AED.BR
Ageas,BE,14839200000,10184400000,20799,AGS.BR
argenx,BE,47450000000,4650000000,1863,ARGX.BR
Aperam,BE,3704400000,6480000000,13000,APAM.AS
Azelis Group,BE,2754000000,4438800000,4001,AZE.BR
D'Ieteren,BE,10000800000,8672400000,13087,DIE.BR
Elia Group,BE,16480800000,4795200000,4572,ELI.BR
GBL,BE,10378800000,6976800000,69,GBLB.BR
KBC Group,BE,52542000000,13078800000,39803,KBC.BR
Lotus Bakeries,BE,9612000000,1468800000,3559,LOTB.BR
Melexis,BE,3153600000,910936800,2000,MELE.BR
Montea,BE,1728000000,190317600,68,MONT.BR
Sofina,BE,8953200000,209919600,83,SOF.BR
Solvay,BE,2948400000,5022000000,8400,SOLB.BR
Syensqo,BE,7678800000,6328800000,13000,SYENS.BR
UCB,BE,50014800000,8359200000,9765,UCB.BR
Umicore,BE,5270400000,20941200000,10963,UMI.BR
WDP,BE,5691600000,590252400,145,WDP.BR
A.P. Møller-Mærsk,DK,34855072464,50388405797,100000,MAERSK-B.CO
Sydbank,DK,7626086957,1378260870,4109,SYDB.CO
Ambu,DK,2647826087,884057971,5200,AMBU-B.CO
Carlsberg,DK,18953623188,12913043478,36998,CARL-B.CO
Coloplast,DK,13437681159,4065217391,17083,COLO-B.CO
Danske Bank,DK,41905797101,8371014493,19724,DANSKE.CO
Demant,DK,8295652174,3328985507,26704,DEMANT.CO
DSV,DK,49605797101,42140579710,148830,DSV.CO
FLSmidth,DK,3717391304,2055072464,5340,FLS.CO
Genmab,DK,17002898551,3665217391,3088,GMAB.CO
GN Store Nord,DK,1936231884,2405797101,7736,GN.CO
ISS,DK,6550724638,12272463768,326528,ISS.CO
Jyske Bank,DK,8428985507,2053623188,3845,JYSK.CO
NKT,DK,6949275362,3891304348,6554,NKT.CO
Nordea Bank,DK,39744000000,12682440000,29153,NDA-DK.CO
Novo Nordisk,DK,204347826087,47507246377,67900,NOVO-B.CO
Novonesis,DK,28676811594,4549275362,11263,NSIS-B.CO
Pandora,DK,7707246377,4682608696,39000,PNDORA.CO
Rockwool,DK,5989855072,4200000000,11827,ROCK-B.CO
Royal Unibrew,DK,3346376812,2294202899,4006,RBREW.CO
Tryg,DK,13523188406,6336231884,6829,TRYG.CO
Vestas Wind Systems,DK,25098550725,20927536232,36808,VWS.CO
Zealand Pharma,DK,2985507246,1339130435,544,ZEAL.CO
Ørsted,DK,29302898551,11617391304,7675,ORSTED.CO
