company,cc,market_cap_usd,revenue_usd,employees,ticker
Accor,FR,11242800000,6091200000,19943,AC.PA
Air Liquide,FR,121165200000,29095200000,63126,AI.PA
Airbus,FR,177098400000,78332400000,166876,AIR.PA
ArcelorMittal,FR,47876400000,53780000000,125554,MT.AS
Axa,FR,99694800000,102265200000,107756,CS.PA
BNP Paribas,FR,126738000000,54572400000,180000,BNP.PA
Bouygues,FR,20174400000,60998400000,200000,EN.PA
Bureau Veritas,FR,13046400000,7214400000,82049,BVI.PA
Capgemini,FR,16232400000,24267600000,423405,CAP.PA
Carrefour,FR,12700800000,90536400000,298604,CA.PA
Crédit Agricole,FR,59583600000,28598400000,79848,ACA.PA
Danone,FR,48459600000,29462400000,88670,BN.PA
Dassault Systèmes,FR,25282800000,6663600000,25724,DSY.PA
Edenred,FR,6847200000,2948400000,12102,EDEN.PA
Engie,FR,72381600000,77695200000,84831,ENGI.PA
EssilorLuxottica,FR,81604800000,30769200000,155975,EL.PA
Eurofins Scientific,FR,13316400000,7884000000,65694,ERF.PA
Hermès,FR,190155600000,17280000000,26494,RMS.PA
Kering,FR,33210000000,15854400000,43731,KER.PA
L'Oréal,FR,219434400000,47574000000,79033,OR.PA
Legrand,FR,38685600000,10519200000,35967,LR.PA
LVMH,FR,254113200000,87274800000,196647,MC.PA
Michelin,FR,25801200000,28069200000,117495,ML.PA
Orange,FR,47174400000,43632000000,121242,ORA.PA
Pernod Ricard,FR,17161200000,10843200000,17238,RI.PA
Publicis,FR,23360400000,19062000000,114079,PUB.PA
Renault,FR,7743600000,62553600000,100541,RNO.PA
Safran,FR,146512800000,33685200000,103710,SAF.PA
Saint-Gobain,FR,39268800000,50198400000,161688,SGO.PA
Sanofi,FR,99759600000,51138000000,74846,SAN.PA
Schneider Electric,FR,163242000000,43362000000,159844,SU.PA
Société Générale,FR,61549200000,27853200000,110000,GLE.PA
Stellantis,FR,15714000000,168296400000,258668,STLAP.PA
STMicroelectronics,FR,56138400000,11490000000,48000,STMPA.PA
Teleperformance,FR,3402000000,11026800000,446716,TEP.PA
Thales,FR,50328000000,24645600000,84958,HO.PA
TotalEnergies,FR,178329600000,159550000000,94847,TTE.PA
Unibail-Rodamco-Westfield,FR,16297200000,3834000000,1992,URW.PA
Veolia,FR,29462400000,47952000000,203100,VIE.PA
Vinci,FR,68040000000,81756000000,292101,DG.PA
ADP,FR,11318400000,7236000000,26055,ADP.PA
Air France-KLM,FR,3294000000,35985600000,79755,AF.PA
Airbus Group,FR,177098400000,78332400000,166876,AIR.PA
Alstom,FR,8056800000,20703600000,87832,ALO.PA
Alten,FR,2116800000,4428000000,57038,ATE.PA
Amundi,FR,19288800000,7430400000,5400,AMUN.PA
Aperam,FR,3704400000,6480000000,13000,APAM.AS
Arcelor Mittal,FR,47876400000,53780000000,125554,MT.AS
Argan,FR,1792800000,278931600,28,ARG.PA
Arkema,FR,4492800000,9579600000,20700,AKE.PA
Atos,FR,601290000,8640000000,57624,ATO.PA
Ayvens,FR,10152000000,27043200000,13000,AYV.PA
Bénéteau,FR,527850000,916509600,6218,BEN.PA
Bic,FR,2624400000,2257200000,9224,BB.PA
Biomérieux,FR,8899200000,4395600000,15226,BIM.PA
Bolloré,FR,11912400000,3164400000,2940,BOL.PA
Carmila,FR,2484000000,611733600,259,CARM.PA
Clariane,FR,1544400000,5734800000,70685,CLARI.PA
Coface,FR,2613600000,1965600000,5511,COFA.PA
Covivio,FR,6318000000,1263600000,968,COV.PA
Dassault Aviation,FR,25347600000,9601200000,14573,AM.PA
Derichebourg,FR,1620000000,3747600000,5394,DBG.PA
Eiffage,FR,12603600000,28209600000,87000,FGR.PA
Elior,FR,565110000,6609600000,132883,ELIOR.PA
Elis,FR,5940000000,5184000000,58445,ELIS.PA
Emeis,FR,2430000000,6372000000,84586,EMEIS.PA
Eramet,FR,1317600000,3013200000,8684,ERA.PA
Esso,FR,987076800,12279600000,1056,ES.PA
Eurazeo,FR,3034800000,46126800,578,RF.PA
Euronext,FR,16178400000,2041200000,3105,ENX.PA
FDJ,FR,4546800000,3974400000,5755,FDJU.PA
Forvia,FR,1825200000,23058000000,106513,FRVIA.PA
Gecina,FR,6026400000,930312000,442,GFC.PA
Getlink,FR,10918800000,1868400000,3825,GET.PA
