company,cc,market_cap_usd,revenue_usd,employees,ticker
Kweichow Moutai,CN,300000000000,24000000000,34000,600519.SS
Ping An Insurance,CN,120000000000,160000000000,280000,601318.SS
CATL (Contemporary Amperex Technology),CN,160000000000,50000000000,120000,300750.SZ
China Merchants Bank,CN,150000000000,47000000000,116000,600036.SS
Midea Group,CN,75000000000,51000000000,190000,000333.SZ
Wuliangye Yibin,CN,75000000000,11500000000,30000,000858.SZ
China Yangtze Power,CN,90000000000,11000000000,27000,600900.SS
Industrial Bank,CN,50000000000,30000000000,57000,601166.SS
Zijin Mining Group,CN,75000000000,40000000000,50000,601899.SS
CITIC Securities,CN,45000000000,8500000000,26000,600030.SS
Jiangsu Hengrui Medicine,CN,45000000000,3300000000,25000,600276.SS
Industrial and Commercial Bank of China,CN,300000000000,130000000000,420000,601398.SS
Inner Mongolia Yili Industrial Group,CN,25000000000,17000000000,60000,600887.SS
East Money Information,CN,35000000000,1600000000,8000,300059.SZ
Gree Electric Appliances,CN,35000000000,28000000000,75000,000651.SZ
Mindray Bio-Medical Electronics,CN,45000000000,5000000000,18000,300760.SZ
BYD,CN,100000000000,85000000000,700000,002594.SZ
Bank of Communications,CN,75000000000,37000000000,90000,601328.SS
Wanhua Chemical Group,CN,35000000000,25000000000,30000,600309.SS
BOE Technology Group,CN,25000000000,25000000000,80000,000725.SZ
Bank of Jiangsu,CN,18000000000,10000000000,16000,600919.SS
Luxshare Precision Industry,CN,35000000000,32000000000,200000,002475.SZ
Shenzhen Inovance Technology,CN,25000000000,4500000000,20000,300124.SZ
Agricultural Bank of China,CN,230000000000,100000000000,450000,601288.SS
Hangzhou Hikvision Digital Technology,CN,40000000000,12500000000,58000,002415.SZ
Luzhou Lao Jiao,CN,35000000000,4200000000,12000,000568.SZ
Longi Green Energy Technology,CN,20000000000,18000000000,70000,601012.SS
China Shenhua Energy,CN,100000000000,47000000000,90000,601088.SS
Beijing-Shanghai High Speed Railway,CN,35000000000,5500000000,70000,601816.SS
China Petroleum & Chemical Corporation (Sinopec),CN,110000000000,450000000000,520000,600028.SS
Shanxi Xinghuacun Fen Wine Factory,CN,35000000000,4500000000,10000,600809.SS
China State Construction Engineering,CN,35000000000,300000000000,380000,601668.SS
WuXi AppTec,CN,25000000000,5500000000,40000,603259.SS
Muyuan Foodstuff,CN,35000000000,15000000000,140000,002714.SZ
Ping An Bank,CN,35000000000,24000000000,43000,000001.SZ
Wens Foodstuff Group,CN,15000000000,12500000000,50000,300498.SZ
China Minsheng Bank,CN,25000000000,20000000000,60000,600016.SS
PetroChina,CN,200000000000,400000000000,380000,601857.SS
Shaanxi Coal Industry Company,CN,30000000000,25000000000,40000,601225.SS
Zhongji Innolight,CN,18000000000,4000000000,8000,300308.SZ
Semiconductor Manufacturing International Corporation (SMIC),CN,60000000000,8000000000,20000,688981.SS
ZTE,CN,20000000000,17000000000,70000,000063.SZ
Bank of China,CN,180000000000,90000000000,306000,601988.SS
S.F. Holding,CN,30000000000,38000000000,180000,002352.SZ
NARI Technology,CN,25000000000,7000000000,20000,600406.SS
China Mobile,CN,250000000000,140000000000,450000,600941.SS
Weichai Power,CN,20000000000,30000000000,80000,000338.SZ
China United Network Communications (China Unicom),CN,25000000000,52000000000,240000,600050.SS
Iflytek,CN,18000000000,3000000000,15000,002230.SZ
Qingdao Haier (Haier Smart Home),CN,35000000000,37000000000,100000,600690.SS
China Telecom Corporation,CN,75000000000,70000000000,280000,601728.SS
Sungrow Power Supply,CN,25000000000,10000000000,20000,300274.SZ
Bank of Ningbo,CN,25000000000,9000000000,27000,002142.SZ
Haitong Securities Company,CN,18000000000,3500000000,14000,600837.SS
Qinghai Salt Lake Potash,CN,15000000000,3000000000,8000,000792.SZ
China Pacific Insurance,CN,35000000000,55000000000,120000,601601.SS
TCL Corporation,CN,12000000000,24000000000,100000,000100.SZ
China International Travel Service (China Tourism Group Duty Free),CN,20000000000,9000000000,12000,601888.SS
Shanghai Pudong Development Bank,CN,35000000000,24000000000,60000,600000.SS
Sany Heavy Industry,CN,25000000000,11000000000,30000,600031.SS
China National Nuclear Power,CN,25000000000,10000000000,20000,601985.SS
China CSSC Holdings,CN,25000000000,12000000000,30000,600150.SS
Hygon Information Technology,CN,35000000000,1200000000,3000,688041.SS
CRRC Corporation,CN,30000000000,33000000000,160000,601766.SS
Bank of Beijing,CN,18000000000,9500000000,16000,601169.SS
NAURA Technology Group,CN,30000000000,3500000000,8000,002371.SZ
TBEA,CN,10000000000,13000000000,30000,600089.SS
Huatai Securities,CN,20000000000,5000000000,15000,601688.SS
Foxconn Industrial Internet,CN,55000000000,75000000000,200000,601138.SS
Chongqing Changan Automobile,CN,18000000000,21000000000,40000,000625.SZ
Tongwei Company,CN,12000000000,20000000000,45000,600438.SS
Poly Real Estate Group (Poly Developments),CN,15000000000,45000000000,40000,600048.SS
Will Semiconductor,CN,18000000000,3000000000,5000,603501.SS
