company,cc,market_cap_usd,revenue_usd,employees,ticker
3M,US,87670000000,25180000000,60500,MMM
3i,UK,32512000000,7086600000,223,III.L
A. O. Smith,US,8180000000,3810000000,11500,AOS
A.P. Møller-Mærsk,DK,34855072464,50388405797,100000,MAERSK-B.CO
A2A,IT,7959600000,15184800000,14959,A2A.MI
AB InBev,BE,141470000000,52870000000,137000,ABI.BR
ABB,SE,165714285714,33000952381,112700,ABB.ST
ABB India,IN,19156626506,1590722892,3859,ABB.NS
ABB Ltd,CH,165499800000,33220000000,112700,ABBN.SW
ABN AMRO,NL,33750000000,9482400000,23140,ABN.AS
ACS,ES,33534000000,54442800000,167803,ACS.MC
ACWA Power,SA,38514666667,1992000000,3538,2082.SR
ADES Holding,SA,5261333333,2029333333,5000,2382.SR
ADNOC Drilling,AE,24706000000,4965000000,,ADNOCDRILL.AD
ADNOC Gas,AE,70024000000,,,ADNOCGAS.AD
ADNOC Logistics & Services,AE,46570000000,18060000000,7022,ADNOCLS.AD
ADP,FR,11318400000,7236000000,26055,ADP.PA
AENA,ES,42541200000,6804000000,10238,AENA.MC
AES Corporation,US,10590000000,12490000000,8336,AES
AFMA,MA,110000000,,,
AGC Inc.,JP,8933333333,14000000000,52896,5201.T
AGMA,MA,143000000,,,
AIA Group,HK,101746153846,26158974359,23000,1299
AIA Group Limited,CN,101746153846,26158974359,23000,1299
AIB Group,IE,24602400000,4687200000,10207,A5G.IR
AKR Corporindo,ID,1860759494,2912658228,2138,AKRA.JK
ALLOS,BR,2538888889,546296296,927,ALOS3
AMOT Investments,IL,2508108108,327027027,198,AMOT
ANA Holdings Inc.,JP,8666666667,16933333333,47826,9202.T
ANZ Group,AU,72226666667,14500000000,40072,ANZ.AX
APA Corporation,US,13040000000,8370000000,1791,APA
ASE Technology Holding,TW,89062500000,20965625000,107950,3711
ASM International,NL,47271600000,3456000000,4519,ASM.AS
ASML Holding,NL,659329200000,38156400000,43882,ASML.AS
ASR Nederland,NL,15606000000,18489600000,9718,ASRNL.AS
ASUSTeK Computer,TW,17826250000,24986875000,,2357
AT&S,AT,7452000000,1933200000,12944,ATS.VI
AT&T,US,157600000000,127240000000,133030,T
AbbVie,US,452740000000,62820000000,57000,ABBV
Abbott Laboratories,US,174740000000,46590000000,115000,ABT
Aberdeen Group,UK,5638800000,1701800000,4435,ABDN.L
Absa Group,ZA,9823783784,5524324324,37033,ABG.JO
Abu Dhabi Commercial Bank,AE,30504000000,5452000000,5000,ADCB.AD
Abu Dhabi Islamic Bank,AE,20387000000,3245000000,,ADIB.AD
Abu Dhabi Ports,AE,6918000000,5972000000,2944,ADPORTS.AD
Accenture,US,84550000000,73100000000,779000,ACN
Acciona,ES,14882400000,23209200000,68502,ANA.MC
Acciona Energía,ES,7700400000,4438800000,3134,ANE.MC
Accor,FR,11242800000,6091200000,19943,AC.PA
Accton Technology,TW,40625000000,8615312500,759,2345
Acerinox,ES,4482000000,6069600000,9094,ACX.MC
Ackermans & van Haaren,BE,9525600000,6436800000,24931,ACKB.BR
Adani Energy Solutions,IN,24337349398,3323855422,3514,ADANIENSOL.NS
Adani Enterprises,IN,49156626506,12048192771,10463,ADANIENT.NS
Adani Green Energy,IN,27349397590,1641445783,976,ADANIGREEN.NS
Adani Ports & SEZ,IN,50481927711,4666987952,3372,ADANIPORTS.NS
Adani Power,IN,49277108434,7112409639,3967,ADANIPOWER.NS
Adaro Minerals Indonesia,ID,4062658228,972950000,622,ADMR.JK
Addtech,SE,8797142857,2194285714,4962,ADDT-B.ST
Adidas,DE,33814800000,27270000000,64938,ADS.DE
Admiral Group,UK,13741400000,6375400000,14805,ADM.L
Adobe Inc.,US,84730000000,25200000000,31360,ADBE
Advanced Micro Devices,US,877150000000,37450000000,31000,AMD
Advanced Micro-Fabrication Equipment (AMEC),CN,49913888889,1823611111,2963,688012
Advantech,TW,16171250000,2310000000,2526,2395
Advantest Corp.,JP,142800000000,7533333333,7241,6857.T
Adyen,NL,27982800000,2570400000,4771,ADYEN.AS
Aedifica,BE,6350400000,422593200,127,AED.BR
Aegon,NL,12895200000,13165200000,15304,AGN.AS
"Aeon Co., Ltd.",JP,25066666667,73933333333,179230,8267.T
Aeroflot,RU,,6800000000,33500,AFLT
Aflac,US,62940000000,18110000000,12716,AFL
Afric Industries,MA,9000000,,,
Afriquia Gaz,MA,1258000000,,,GAZ
Ageas,BE,14839200000,10184400000,20799,AGS.BR
Agilent Technologies,US,39030000000,7230000000,18100,A
Agnico Eagle Mines,CA,76154411765,13897058824,10155,AEM
Agricultural Bank of China,CN,309722222222,83456944444,457835,601288
Ahold Delhaize,NL,33998400000,98658000000,384000,AD.AS
Aier Eye Hospital,CN,11276388889,3155555556,42817,300015
Air France-KLM,FR,3294000000,35985600000,79755,AF.PA
Air Liquide,FR,121165200000,29095200000,63126,AI.PA
Air Products,US,65770000000,12460000000,21300,APD
Airbnb,US,81270000000,12650000000,8200,ABNB
Airbus,DE,177098400000,79293600000,166876,AIR.DE
Airbus,FR,177098400000,78332400000,166876,AIR.PA
Airbus Group,FR,177098400000,78332400000,166876,AIR.PA
Airtel Africa,UK,16129000000,6591300000,4512,AAF.L
"Ajinomoto Co., Inc.",JP,32466666667,10533333333,34787,2802.T
Akamai Technologies,US,17730000000,4270000000,11000,AKAM
Akbank,TR,10814375000,6551562500,13146,AKBNK
Akdital,MA,1608000000,,,AKT
Aker BP,NO,19895327103,11006542056,3056,AKRBP.OL
AkzoNobel,NL,10767600000,10681200000,31100,AKZA.AS
Al Rajhi Bank,SA,102800000000,10400000000,24712,1120.SR
Alamtri Resources Indonesia,ID,4703164557,2105696203,10488,ADRO.JK
Albemarle Corporation,US,13880000000,5490000000,7800,ALB
Alchip Technologies,TW,8968750000,769687500,,3661
Alcon Inc,CH,30250100000,8530000000,25000,ALC.SW
Aldar Properties,AE,16389000000,9471000000,2891,ALDAR.AD
Alexandria Real Estate Equities,US,8720000000,2930000000,514,ARE
Alfa Laval,SE,22524761905,6707619048,24399,ALFA.ST
Alibaba Group,CN,266666666667,148717948718,131462,9988
Alibaba Group,HK,266666666667,148717948718,131462,9988
Alibaba Health,CN,7046153846,4992307692,1394,0241
Alibaba Health,HK,7046153846,4992307692,1394,0241
Align Technology,US,12020000000,4100000000,20290,ALGN
Alimentation Couche-Tard,CA,60227941176,76970588235,145000,ATD
Alinma Bank,SA,18976000000,2962666667,4216,1150.SR
Alior Bank,PL,4455000000,1432500000,6740,ALR
Allegion,US,13550000000,4290000000,13300,ALLE
Allegro,PL,11032500000,2962500000,5754,ALE
Alliance Witan,UK,6350000000,,,ALW.L
Alliances Développement Immobilier,MA,816000000,,,ADI
Alliant Energy,US,19210000000,4420000000,4943,LNT
Allianz,DE,173037600000,122223600000,138378,ALV.DE
Allstate,US,65410000000,68170000000,53300,ALL
Almarai,SA,12288000000,6144000000,46997,2280.SR
Alpha Dhabi Holding,AE,20027000000,21836000000,57000,ALPHADHABI.AD
Alphabet Inc. (Class A),US,3900000000000,445870000000,190820,GOOGL
Alphabet Inc. (Class C),US,4180000000000,445870000000,190820,GOOG
"Alps Alpine Co., Ltd.",JP,2804466667,6800000000,25924,6770.T
Alrosa,RU,,2810000000,32475,ALRS
Alsea,MX,1781666667,4724444444,73875,ALSEA
Alstom,FR,8056800000,20703600000,87832,ALO.PA
Alten,FR,2116800000,4428000000,57038,ATE.PA
Altri,PT,1036850632,691986176,835,ALTR
Altria,US,120070000000,20380000000,5900,MO
Aluminium du Maroc,MA,80000000,,,
Amada Co. Ltd.,JP,6023266667,2915800000,9872,6113.T
Amadeus IT Group,ES,22712400000,7041600000,20605,AMS.MC
Amazon,US,2520000000000,742780000000,1576000,AMZN
Ambev,BR,46346296296,16335185185,39000,ABEV3
Ambu,DK,2647826087,884057971,5200,AMBU-B.CO
Ambuja Cements,IN,12650602410,4898313253,4756,AMBUJACEM.NS
Amcor,AU,19026666667,21553333333,77000,AMC.AX
Amcor,US,19800000000,22190000000,77000,AMCR
Ameren,US,31230000000,8550000000,8913,AEE
American Electric Power,US,73120000000,22430000000,17581,AEP
American Express,US,232990000000,68810000000,76800,AXP
American International Group,US,41570000000,26700000000,22100,AIG
American Tower,US,77610000000,10820000000,4866,AMT
American Water Works,US,26180000000,5210000000,7000,AWK
Americana Restaurants,AE,4667000000,2588000000,37207,AMR.AD
Ameriprise Financial,US,47100000000,19840000000,13600,AMP
Ametek,US,55130000000,7600000000,22500,AME
Amgen,US,198260000000,37220000000,31500,AMGN
Amman Mineral Internasional,ID,19340506329,1850000000,2149,AMMN.JK
Amorepacific,KR,5377777778,3148148148,4371,090430.KS
Amphenol,US,193800000000,25900000000,170000,APH
Amplifon,IT,3088800000,2581200000,15078,AMP.MI
Amrize AG,CH,25221600000,9550000000,19000,AMRZ.SW
Amundi,FR,19288800000,7430400000,5400,AMUN.PA
América Móvil,MX,78290000000,54700000000,177711,AMX
Anadolu Efes,TR,4092812500,7757500000,15885,AEFES
Analog Devices,US,184640000000,12740000000,24500,ADI
Andritz,AT,7992000000,8564400000,30487,ANDR.VI
Aneka Tambang,ID,4685443038,5356962025,3829,ANTM.JK
Anglo American,UK,48018700000,17500600000,26400,AAL.L
Anglo American,ZA,48396800000,13780000000,26400,AAL.L
AngloGold Ashanti,ZA,36398918919,10301081081,38000,ANG.JO
Anheuser-Busch InBev,ZA,161460000000,60960000000,136805,ANH.JO
Anhui Conch Cement,CN,12880555556,11186111111,48286,600585
Anta Sports,CN,27214102564,11444871795,69100,2020
Anta Sports,HK,27214102564,11444871795,69100,2020
Antofagasta,UK,47523400000,8128000000,8457,ANTO.L
Aon plc,US,75320000000,17490000000,60000,AON
"Aozora Bank, Ltd.",JP,2794933333,836866667,2515,8304.T
Aperam,BE,3704400000,6480000000,13000,APAM.AS
Aperam,FR,3704400000,6480000000,13000,APAM.AS
Apex Investment,AE,3097000000,240000000,150,APEX.AD
Apollo Global Management,US,68770000000,31290000000,2540,APO
Apollo Hospitals,IN,15542168675,3039638554,42497,APOLLOHOSP.NS
AppLovin,US,134050000000,6160000000,898,APP
Apple Inc.,US,4710000000000,451440000000,166000,AAPL
Applied Materials,US,449440000000,29020000000,36500,AMAT
Aptiv,US,12120000000,20660000000,140000,APTV
Arab National Bank,SA,11653333333,2490666667,4404,1080.SR
Arabian Internet and Communications Services,SA,6480000000,3442666667,1494,7202.SR
Aradei Capital,MA,537000000,,,ARD
Arca Continental,MX,19348888889,13908333333,70837,AC
Arcelor Mittal,FR,47876400000,53780000000,125554,MT.AS
ArcelorMittal,ES,47876400000,61350000000,125554,MT.AS
ArcelorMittal,FR,47876400000,53780000000,125554,MT.AS
ArcelorMittal,NL,44330000000,53780000000,125554,MT.AS
Arch Capital Group,US,34710000000,19780000000,8000,ACGL
Archer Daniels Midland,US,41880000000,80580000000,41496,ADM
Ares Management,US,39880000000,5910000000,4250,ARES
Argan,FR,1792800000,278931600,28,ARG.PA
Arista Networks,US,222880000000,9710000000,5115,ANET
Aristocrat Leisure,AU,24506666667,4200000000,7300,ALL.AX
Arkema,FR,4492800000,9579600000,20700,AKE.PA
Arthur J. Gallagher & Co.,US,62410000000,14200000000,72000,AJG
"Asahi Group Holdings, Ltd.",JP,15933333333,19266666667,28173,2502.T
Asahi Kasei Corp.,JP,16666666667,20466666667,47895,3407.T
Aselsan,TR,52812500000,5779062500,16243,ASELS
Asia Commercial Bank,VN,5224000000,1218800000,13262,ACB.VN
Asia Vital Components,TW,29903750000,5166875000,433,3017
Asian Paints,IN,30843373494,4287228916,11162,ASIANPAINT.NS
Aspen Pharmacare,ZA,3590810811,2302162162,9557,APN.JO
Aspirasi Hidup Indonesia,ID,387974684,546835443,13976,ACES.JK
Assa Abloy,SE,36401904762,14424761905,63939,ASSA-B.ST
Assaí,BR,2087037037,14331481481,90000,ASAI3
Associated British Foods,UK,17881600000,24663400000,138000,ABF.L
Assurant,US,13510000000,13160000000,14800,AIZ
Astellas Pharma Inc.,JP,25800000000,14266666667,14099,4503.T
Astor Enerji,TR,9356250000,1136250000,2585,ASTOR
Astra International,ID,13058860759,20467721519,133092,ASII.JK
AstraZeneca,SE,242857142857,54779047619,96100,AZN.ST
AstraZeneca,UK,250202700000,58127900000,96100,AZN.L
AtlantaSanad,MA,738000000,,,ATL
Atlas Copco,SE,89605714286,16182857143,56473,ATCO-A.ST
Atmos Energy,US,29830000000,4880000000,5487,ATO
Atos,FR,601290000,8640000000,57624,ATO.PA
Attijariwafa Bank,MA,14627000000,,,ATW
Auren,BR,2233333333,2462962963,,AURE3
Auto Hall,MA,331000000,,,ATH
Auto Nejma,MA,552000000,,,NEJ
Auto Trader Group,UK,4914900000,792861000,1239,AUTO.L
AutoZone,US,47670000000,19990000000,130000,AZO
Autodesk,US,42960000000,7510000000,14300,ADSK
Automatic Data Processing,US,96180000000,21600000000,67000,ADP
AvalonBay Communities,US,27230000000,3080000000,3041,AVB
Avery Dennison,US,11990000000,9010000000,35000,AVY
Avio,IT,1425600000,630385200,1426,AVIO.MI
Aviva,UK,26136600000,36423600000,39359,AV.L
Axa,FR,99694800000,102265200000,107756,CS.PA
Axia Energia,BR,27087037037,8070370370,7168,AXIA3
Axis Bank,IN,45783132530,9286867470,101337,AXISBANK.NS
Axon Enterprise,US,39680000000,2980000000,5100,AXON
Ayvens,FR,10152000000,27043200000,13000,AYV.PA
Azelis Group,BE,2754000000,4438800000,4001,AZE.BR
Azimut,IT,5454000000,1587600000,1260,AZM.MI
Azrieli Group,IL,13770270270,1102702703,449,AZRG
Azzas 2154,BR,666666667,2148148148,9480,AZZA3
B3,BR,14753703704,1953703704,2889,B3SA3
BAE Systems,UK,69202300000,35991800000,111400,BA.L
BASF,DE,45543600000,63903600000,106428,BAS.DE
BAWAG Group,AT,14472000000,2181600000,4042,BG.VI
BB Seguridade,BR,15307407407,1940740741,222,BBSE3
BBVA,ES,137257200000,34182000000,123368,BBVA.MC
BCE,CA,20705882353,18169117647,38683,BCE
BE Semiconductor Industries,NL,21211200000,682635600,1902,BESI.AS
BGF Retail,KR,282518519,347755556,49,027410.KS
BHP Group,AU,205360000000,53960000000,40648,BHP.AX
BHP Group,ZA,203251200000,40110000000,40009,BHP.L
BIDV,VN,10483200000,2728800000,29048,BID.VN
BIG Shopping Centers,IL,4732432432,840540541,105,BIG
BMCI,MA,807000000,,,BCI
BMW,DE,37810800000,141156000000,154540,BMW.DE
BNP Paribas,FR,126738000000,54572400000,180000,BNP.PA
BNY Mellon,US,143850000,10390000,2600,DMF
BOC Hong Kong,HK,65551282051,8811538462,15585,2388
BOC Hong Kong Holdings,CN,65551282051,8811538462,15585,2388
BOE Technology Group,CN,30901388889,28470833333,109895,000725
BP,UK,105829100000,146160000000,93700,BP.L
BPER Banca,IT,31082400000,6415200000,22964,BPE.MI
